title,domain
Multivac Canada Inc.,ca.multivac.com
Munich University of Applied Sciences,hm.edu
Municipal Waste Association,municipalwaste.ca
Nature Fresh Farms,naturefreshfarms.com
NaviLens,navilens.com
Neptune Nanotechnologies,neptunenano.com
Nestle Canada Inc.,madewithnestle.ca
Newmapak Ltd.,newmapak.com
Niagara Pallet & Recyclers Ltd.,niagarapallet.ca
NielsenIQ,nielseniq.com
Norlands Box Company Inc.,norlands.com
Northern Label Group,northernlabel.com
NSF International,nsf.org
O-I,o-i.com
Ocean Wise,ocean.org
Olberding Brand Family,olberdingbrands.com
OMNIA Packaging Inc.,omniapackaging.ca
Ontario College of Art & Design (OCAD),ocadu.ca
Ontario Fruit & Vegetable Grower Association,ofvga.org
Optikka,optikka.io
Orfer Inc,orfer.ca
Orxestra,transearchusa.com
Overflow Design,overflowdesign.com
P-Duplex Inc.,p-duplex.ca
Pack-Smart Inc.,packsmartinc.com
Pack3000 Canada Ltd.,pack3000.com
Packaging Digest,packagingdigest.com
Packaging Technology and Research,packagingtechnologyandresearch.com
Packall Packaging Inc,packall.com
PakItGreen Inc,pakitgreen.com
Pano Cap Canada Ltd,panocap.com
Paperboard Packaging Council (PPC),paperbox.org
Paperworks Packaging Group,onepaperworks.com
Pearlfisher Inc.,pearlfisher.com
Peel Plastic Products Limited,peelplastics.com
PEI Bag Co Ltd,peibag.com
PFM Packaging Machinery Corporation,pfmnorthamerica.com
Pigeon Brands,pigeonbrands.com
PJClayton & Co.,pjclayton.com
Plan Automation Inc.,planautomation.com
Plan IT Packaging Systems Inc,planitpackaging.com
Plastic Film Corporation,plasticfilmcorporation.com
Plastics New Zealand Incorporated,plastics.org.nz
Plastics Touchpoint Group,plasticstouchpoint.com
Plastipak Industries Inc,plastipak.ca
PMMI,pmmi.org
Pollard Banknote Limited,pollardbanknote.com
Polytainers Inc,polytainersinc.com
"PPEC (The Paper & Paperboard Packaging Environmental
            Council)",ppec-paper.com
Printex Transparent Packaging,ptpackaging.com
ProAmpac,proampac.com
Procter & Gamble Inc.,pg.ca
Promotional Print and Packaging,promotionalprint.ca
PTIS,ptisglobal.com
Quadra Chemicals Ltd,quadra.ca
RBI â€“ Restaurant Brands International,rbi.com
Reclay StewardEdge,reclaystewardedge.com
Recycle BC,recyclebc.ca
Recycled Paperboard Alliance,rpa100.com
Recycling Council of Alberta,recycle.ab.ca
Recycling Council of Ontario,rco.com
REDEMAC Inc.,redemac.com
Reflective Media Inc.,reflective-media.com
Regional Municipality of Peel,peelregion.ca
Reiser (Canada) Co.,reiser.com
Restaurants Canada,restaurantscanada.org
Retail Council of Canada,retailcouncil.org
Returnity,returnity.co
Riverside Natural Foods Ltd.,riversidenaturalfoods.com
Riviana Foods Canada Corporation,riviana.com
RNIB (Royal National Institute of Blind People),rnib.org.uk
Robatech Canada Inc,robatech.com
ROBOPLAST SRL,roboplast.com
Rochester Institute of Technology,rit.edu
Rootree,rootree.ca
Ropack Inc,ropack.com
Sager Food Products,sagerfoods.com
Saint Francis Xavier University,stfxuniversity.ca
Saputo Dairy Products Canada G.P.,saputo.com
SCAD â€“ Savannah College Art & Design,scad.edu
Scanpack Inc.,scanpack.ca
Scotia Investments Limited,scotiainvestments.ca
SDI Packaging Inc.,sdipackaging.com
Seneca College,senecacollege.ca
Sesotec Canada Ltd.,sesotec.com
SGK,sgkinc.com
SGO Premedia Limited,sgopremedia.com
SGS & Co,sgsco.com
Sheridan College,sheridancollege.ca
Shikatani Lacroix Design Inc.,sld.com
Shipmaster Containers Limited,shipmaster.com
SIAL Canada,sialcanada.com
Sigma Stretch Film,sigmastretchtools.com
Significans Automation,significans.com
Silgan Plastics Canada Inc,silganplastics.com
Smucker Foods of Canada Co,jmsmucker.com
Smurfit Westrock,smurfitwestrock.com
Sobeys Inc.,sobeys.com
Southern Alberta Institute of Technology (SAIT),sait.ca
Spicers Canada ULC,spicers.ca
Spinrite Inc.,spinriteyarns.com
SRWDesign Studio,susanwackerdonle.com
Strapco inc.,strapco.ca
Sundance,sundancepackaging.com
SustainableStrat Inc.,sustainablestrat.com
Taurus Craco Machinery Inc.,tauruscraco.com
TC Transcontinental Packaging,tctranscontinental.com
Tempo Flexible Packaging,tempoflexiblepackaging.com
Terracycle Canada Inc.,terracycle.com
Tetra Pak Canada Inc,tetrapak.com
The International Group Inc,igiwax.com
The Legends Project,thelegendsproject.org
The Natural Step Canada,naturalstep.ca
The PackHub,thepackhub.com
Tim Hortons Inc â€“ The TDL Group,timhortons.ca
Toronto Metropolitan University,torontomu.ca
Transcendia Inc.,transcendia.com
Trivium Packaging,triviumpackaging.com
Unilever,unilever.com
UniTrak Corporation Limited,unitrak.com
UniversitÃ© Laval,ulaval.ca
University College Dubllin,ucd.ie
University of British Columbia,ubc.ca
University of Florida / IFAS,ufl.edu
University of Guelph,uoguelph.ca
University of Manitoba,umanitoba.ca
University of Portsmouth,port.ac.uk
University of Toronto,utoronto.ca
University of Waterloo,uwaterloo.ca
University of Wisconsin â€“ Stout,uwstout.edu
Valco Melton,valcomelton.com
Value Chain Management International Inc.,vcm-international.com
Van Genechten Packaging,vangenechten.com
VC999 Canada Ltd.,vc999.com
Victorialand Beauty LLC,victorialandbeauty.com
Vins Plastics Ltd.,vinsplastics.ca
VOYOU BOUFFE,voyou.com
Walmart Canada,walmartcanada.ca
Weber Marking Systems of Canada,weberpackaging.com
Wedlock Paper Converters Limited,wedlockpaper.com
WG Pro Manufacturing Inc.,wgcorporate.com
Wikoff Color Corp,wikoff.com
Windset Farms,windsetfarms.com
Winpak Ltd.,winpak.com
Wonderbrands,wonderbrands.com
WOW Factor,wowfactorco.com
Yaskawa Motoman Robotics Canada,motoman.com
Zappar Ltd.,zappar.com
