Membership Type,Company,Website,Address,Phone,Job Title
Retail Bakery (Per Out ...,Koster Baking Ltd,,"Alberta, CA",4037324747,None provided
Retail Bakery (Per Out ...,Terra Breads,--,"British Columbia, CA",6047361884,President
Retail Bakery (Per Out ...,Hot Oven Bakery,,"Ontario, CA",4165259066,None provided
Retail Bakery (Per Out ...,Foxs Bakery and Deli,,"Ontario, CA",7057374646,None provided
Retail Bakery (Per Out ...,True Grain Bread,,"British Columbia, CA",2504886760,None provided
Retail Bakery (Per Out ...,Duncan Garage Cafe Bakery,,"British Columbia, CA",2507486223,None provided
Retail Bakery (Per Out ...,Gluten Free Me,--,"Ontario, CA",4169880606,Owner
Retail Bakery (Per Out ...,Seraphinas Oven,--,"British Columbia, CA",2506194464,Principal
Retail Bakery (Per Out ...,True Grain Bread,,"British Columbia, CA",2507467664,None provided
Retail Bakery (Per Out ...,Lakeside Bakery,,"Ontario, CA",5193262626,None provided
Retail Bakery (Per Out ...,Quesnel Bakery Ltd,--,"British Columbia, CA",2509929604,owner
Retail Bakery (Per Out ...,Current River Bakery,,"Ontario, CA",8076838911,None provided
Retail Bakery (Per Out ...,Kathys Kakes,www.kathyskakes.ca,"Ontario, CA",7053234541,Owner
Retail Bakery (Per Out ...,Montmartre Bakery,,"Ontario, CA",4167577771,None provided
Retail Bakery (Per Out ...,Alderlane Farmhouse Bakery,,"British Columbia, CA",2507025848,None provided
Retail Bakery (Per Out ...,Sunflower Bake Shop,,"Ontario, CA",6132672458,None provided
Retail Bakery (Per Out ...,Golden Grain Bakery,--,"Saskatchewan, CA",3067525700,President/Owner
Retail Bakery (Per Out ...,Hot Chocolates & Cakebread Artisan Bakery,--,"British Columbia, CA",2503388211,General Manager & Human Resources
Retail Bakery (Per Out ...,The Kootenay Bakery Cafe Cooperative,https://thekootenaybakerycafe.com/,"British Columbia, CA",2503522274,Business Manager
Retail Bakery (Per Out ...,Imagine Studio Cafe,,"British Columbia, CA",2508127651,None provided
Retail Bakery (Per Out ...,SAB Services Ltd,www.sabfruitcake.com,"Ontario, CA",6479937637,Owner/Baker
Retail Bakery (Per Out ...,Jawad Modern Bakeries Co.,--,"Ontario, CA",4373268113,Owner and QA Director
Retail Bakery (Per Out ...,Harbord Bakery,--,"Ontario, CA",4169225767,owner
Retail Bakery (Per Out ...,Cook Nook Bakery,Nil,"New Brunswick, CA",5065239741,Owner
Retail Bakery (Per Out ...,Dalia Bakery Inc.,www.daliacake.com,"Ontario, CA",+447788839662,Business director
Retail Bakery (Per Out ...,Salt Water Bakery,,"British Columbia, CA",7782027740,None provided
Retail Bakery (Per Out ...,Quality Bakery 1981 Ltd,invermerebakery.com,"British Columbia, CA",2503429913,Manager
Retail Bakery (Per Out ...,Wild Culture Bakery,,"British Columbia, CA",(250) 228-0002,None provided
Retail Bakery (Per Out ...,Stark Raving Bread,,"British Columbia, CA",(250) 217-1225,None provided
Retail Bakery (Per Out ...,La Roux Pâtisserie,Laroux.ca,"British Columbia, CA",(778) 265-7689,Boss Lady
Retail Bakery (Per Out ...,Smør Scandinavian Bakery,smor.ca,"British Columbia, CA",2506340315,Owner
Retail Bakery (Per Out ...,Lepp's Bakehouse & Delicatessen,,"British Columbia, CA",(604) 851-5377,None provided
