Company,Website,Address
O K Frozen Dough,,"British Columbia, CA"
EggSolutionsVanderpols Inc,,"British Columbia, CA"
Marquis Milling Co,,"Saskatchewan, CA"
Malabar Ingredients,,"Ontario, CA"
FlavorSum,,"Ontario, CA"
Olaf Packaging Group Inc,,"Alberta, CA"
Packaging Machinery Concepts Ltd,,"Ontario, CA"
Snow Cap Enterprises Ltd,,"British Columbia, CA"
Blendtek Ingredients,,"Ontario, CA"
Food In CA,,"Ontario, CA"
Olympic Wholesale Co. Ltd.,--,"Ontario, CA"
Maritime Pride Eggs/Nutrigroupe,Maritime Pride Eggs,"Nova Scotia, CA"
Marsia Foods Inc,www.marsia.ca,"Ontario, CA"
AIC Canada Pan coatings inc.,--,"British Columbia, CA"
Redux Nutrition Ltd,--,"British Columbia, CA"
Redux Nutrition Ltd,--,"British Columbia, CA"
France Décor Canada/Vixit,https://www.vixit.com/,"Quebec, CA"
GRAIN PROCESS ENTERPRISES LTD,--,"Ontario, CA"
Majestic Casters & Equipment,,"Ontario, CA"
Chocoland (ABZ Wholesale),www.chocolateland.ca,"Ontario, CA"
Island Pastry Haus & More,--,"British Columbia, CA"
Fry's Bakery,,"British Columbia, CA"
Happy Monk Baking Company,,"British Columbia, CA"
Azzurri Italian Pasticceria,,"British Columbia, CA"
Coaldale Bakery,--,"Alberta, CA"
Windmill Bakery Pastry Shop,--,"Ontario, CA"
Uprising Breads Bakery,--,"British Columbia, CA"
Koster Baking Ltd,,"Alberta, CA"
Terra Breads,--,"British Columbia, CA"
Hot Oven Bakery,,"Ontario, CA"
Foxs Bakery and Deli,,"Ontario, CA"
True Grain Bread,,"British Columbia, CA"
Duncan Garage Cafe Bakery,,"British Columbia, CA"
Gluten Free Me,--,"Ontario, CA"
Seraphinas Oven,--,"British Columbia, CA"
True Grain Bread,,"British Columbia, CA"
Lakeside Bakery,,"Ontario, CA"
Quesnel Bakery Ltd,--,"British Columbia, CA"
Current River Bakery,,"Ontario, CA"
Kathys Kakes,www.kathyskakes.ca,"Ontario, CA"
Montmartre Bakery,,"Ontario, CA"
Alderlane Farmhouse Bakery,,"British Columbia, CA"
Sunflower Bake Shop,,"Ontario, CA"
Golden Grain Bakery,--,"Saskatchewan, CA"
Hot Chocolates & Cakebread Artisan Bakery,--,"British Columbia, CA"
The Kootenay Bakery Cafe Cooperative,https://thekootenaybakerycafe.com/,"British Columbia, CA"
Imagine Studio Cafe,,"British Columbia, CA"
SAB Services Ltd,www.sabfruitcake.com,"Ontario, CA"
Jawad Modern Bakeries Co.,--,"Ontario, CA"
Harbord Bakery,--,"Ontario, CA"
Cook Nook Bakery,Nil,"New Brunswick, CA"
Dalia Bakery Inc.,www.daliacake.com,"Ontario, CA"
Salt Water Bakery,,"British Columbia, CA"
Quality Bakery 1981 Ltd,invermerebakery.com,"British Columbia, CA"
Wild Culture Bakery,,"British Columbia, CA"
Stark Raving Bread,,"British Columbia, CA"
La Roux Pâtisserie,Laroux.ca,"British Columbia, CA"
Smør Scandinavian Bakery,smor.ca,"British Columbia, CA"
Lepp's Bakehouse & Delicatessen,,"British Columbia, CA"
Shada Bakery Ltd,,"Ontario, CA"
Ooh La La Cupcakes Inc.,,"British Columbia, CA"
Pransa Cake Ltd,www.pransacake.com,"Ontario, CA"
Discovery Coffee (Yonnis Bakery),--,"British Columbia, CA"
La Focacceria Artisan Bakery,www.lafocacceria.ca,"British Columbia, CA"
Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA"
Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA"
Harvest Bakery & Deli,--,"Manitoba, CA"
ARD BAKERY LTD.,--,"British Columbia, CA"
Whole Note Grains Co.,wholenotegrains.ca,"Ontario, CA"
Homestead Artisan Bakery,http://www.homesteadartisanbakery.com/,"Ontario, CA"
Old Church Bakery Inc.,oldchurchbakery.com,"Manitoba, CA"
Bliss Bakery,blissbakery.ca,"British Columbia, CA"
Baker Street Bakery,--,"Ontario, CA"
Aygol Bakery Inc.,--,"British Columbia, CA"
The Bread Essentials,www.thebreadessentials.com,"Ontario, CA"
Felix & Norton Markham,www.fncookies.com,"Ontario, CA"
Felix & Norton Markham,www.fncookies.com,"Ontario, CA"
Tall Grass Prairie Bread Co. (at the Forks),https://tallgrassbakery.ca/,"Manitoba, CA"
The Sweet North,Thesweetnorth.ca,"Ontario, CA"
The Sweet North,--,"Ontario, CA"
Kortob-Mom Bakery,--,"Manitoba, CA"
Tommy's Whole Grain,tommyswholegrain.com,"British Columbia, CA"
Blackbird Baking Company,www.blackbirdbakingco.com,"Ontario, CA"
Blackbird Bread Works,www.blackbirdbakingco.com,"Ontario, CA"
The Lively Loaf,--,"Ontario, CA"
The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA"
The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA"
Elmvale Bakery,--,"Ontario, CA"
D'Amours Bakery,--,"Ontario, CA"
Northgate bakery,--,"Saskatchewan, CA"
Old Town Bakery Ltd,oldtownbakery.ca,"British Columbia, CA"
Jackie's Creative Cakes & Sweets,www.jackiescreativecakes.com,"Ontario, CA"
Sherry's Inc.,YES,"Ontario, CA"
Sherry's Inc,yes,"Ontario, CA"
Do Good Donuts,Www.dogooddonuts.org,"Ontario, CA"
Lady Glaze Doughnuts Inc,www.ladyglazedoughnuts.com,"Ontario, CA"
Leaven to Loaf,,"Ontario, CA"
Leaven to Loaf,,"Ontario, CA"
Portovelo Cafe,,"Ontario, CA"
Spicer’s Bakery,,"Ontario, CA"
BAKEHOUSE,--,"Alberta, CA"
The Beauregard Experience,--,"Manitoba, CA"
Tdelight Ventures,--,"Ontario, CA"
