url,GTIN,Product Name,Description,Ingredients,Pack Size,Product Format,Slice Weight,Product Performance,Item Type,Slice Length,Slice Width
schreiber-yellow-pasteurized-process-reduced-fat-reduced-sodium-american-slices-4-5-160-slices/,071505014502,SCHREIBER YELLOW PASTEURIZED PROCESS REDUCED FAT REDUCED SODIUM AMERICAN SLICES – 4/5# 160 SLICES,"Looking for ways to give your consumers all the flavor with less sodium and fat? We’ve got just the thing. With a smooth texture and 25% less sodium and fat than regular pasteurized process American cheese, this cheese is perfect for adding a deliciously melty touch to any application. Plus, with its convenient pre-portioned slices and EZ Pick staggered design, it streamlines kitchen preparation, reduces waste, and ensures hassle-free cooking. Whether you’re topping burgers and grilled cheese sandwiches or adding a flavorful kick to a sub sandwich, this sliced cheese will leave a delicious impression.","MILK AND SKIM MILK, WATER, DAIRY PRODUCT SOLIDS*, MODIFIED FOOD STARCH*, CREAM, CONTAINS 2% OR LESS OF CHEESE CULTURE, CITRIC ACID, COLOR ADDED, ENZYMES, MILK PROTEIN CONCENTRATE*, POTASSIUM CITRATE, SALT, SODIUM CITRATE, SORBIC ACID (PRESERVATIVE), SOY LECITHIN, VITAMIN A PALMITATE. *INGREDIENT NOT IN REGULAR PASTEURIZED PROCESS AMERICAN CHEESE CONTAINS: MILK, SOY",4/5#,Slice,0.5oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3,3
schreiber-colby-jack-50-50-feather-shreds-4-5/,071505014274,SCHREIBER COLBY JACK 50/50 FEATHER SHREDS – 4/5#,"Schreiber Colby Jack shredded cheese offers unmatched quality and flavor. Featuring a classic feather shred for perfect coverage, it saves you valuable prep time and space in the kitchen. And the 50/50 blend of Colby and Monterey Jack offers a delightful combination of mild, sweet, and tangy flavors, ensuring a mouthwatering experience with every bite. Whether it’s sprinkled over salads and appetizers or melted into quesadillas and pasta dishes, it adds a craveable texture and flavor that consumers will love.","COLBY CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED), MONTEREY JACK CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
american-heritage-sharp-cheddar-fancy-shreds-12-8oz/,030900009124,AMERICAN HERITAGE SHARP CHEDDAR FANCY SHREDS – 12/8OZ,"Add just the right amount of everyone’s favorite sharp Cheddar flavor to any culinary creation with the finest shred available. It’s easy to use but it’s even easier for consumers to love with a flavor that simply ignites the senses. Whether it’s sprinkled atop salads or tacos for a boost of appeal or melted over pasta, pizza, or a casserole for a creamy finish, it can help you elevate any dish.","CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",12/8OZ,Shredded,,HOT APPLICATION - INTERNAL MELT; HOT APPLICATION - TOPICAL MELT; COLD APPLICATION,NATURAL CHEESE,,
swiss-slices-18-1-32-slices/,071505012928,SWISS SLICES – 18/1# 32 SLICES,"Our Swiss cheese slices feature a mild, sweet, nutty flavor profile and a firm body and smooth texture that melts beautifully when heated. Whether you’re serving up hot or cold sandwiches or creating a mouthwatering meat and cheese tray, this natural cheese is the perfect addition to your menu lineup!","PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. AGED OVER 60 DAYS. CONTAINS: MILK",18/1#,Slice,0.5oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.88,3.88
american-heritage-monterey-jack-chunk-12-8oz/,030900911557,AMERICAN HERITAGE MONTEREY JACK CHUNK – 12/8OZ,"With that clean, buttery Monterey Jack flavor and semi-hard, slightly curdy texture, each slice of this cheese is a masterpiece waiting to happen. Perfect for grilled sandwiches, creamy macaroni and cheese, or topping pizzas and pasta bakes, it can easily be shredded or sliced for any application.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",12/8OZ,Chunk,,Ready to Eat,NATURAL CHEESE,,
raskas-strawberry-cream-cheese-spread-portion-control-cup-100-75oz/,071505017756,RASKAS STRAWBERRY CREAM CHEESE SPREAD PORTION CONTROL CUP – 100/.75OZ,"Elevate your cream cheese offering using one of your consumers’ favorite flavors. Strawberry! With a soft, creamy texture and delightful taste, these portion-control cups are an ideal grab-and-go option for busy operations. Whether you’re spreading them on bagels or using them as a dip for crackers and pretzels, they’re sure to impress everyone with their high-quality ingredients. Plus, portioned cups help reduce serving costs, making them a win-win for both you and your consumers.","PASTEURIZED MILK AND CREAM, WATER, SUGAR, STRAWBERRIES, CHEESE CULTURE, SALT, GUAR GUM, NATURAL FLAVOR, MODIFIED FOOD STARCH, CITRIC ACID, XANTHAN GUM, FRUIT AND VEGETABLE JUICE (COLOR), CAROB BEAN GUM, HONEY, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",100/.75OZ,Portion,,SPREADING,CREAM CHEESE,,
american-heritage-low-moisture-part-skim-mozzarella-chunk-12-8oz/,030900911724,AMERICAN HERITAGE LOW MOISTURE PART-SKIM MOZZARELLA CHUNK – 12/8OZ,"Our Low Moisture Part-Skim Mozzarella is a versatile natural chunk cheese with a mild and slightly salty flavor profile. Its soft texture and firm body mean you can shred, cube, or slice to suit your needs. Whatever format you choose, it will help you create unforgettable menu items that consumers will come back for again and again.","PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",12/8OZ,Chunk,,Ready to Eat,NATURAL CHEESE,,
schreiber-skim-milk-12-32-fl-oz/,071505024013,SCHREIBER SKIM MILK 12/32 FL OZ,"Looking to offer your customers great flavor with the lowest fat content available? Our skim milk helps you do just that across your entire menu. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","NONFAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",12/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
havarti-slices-6-1-5-24-slices/,071505023887,HAVARTI SLICES – 6/1.5# 24 SLICES,"Our sliced Havarti cheese is crafted to have a delicate balance of flavors. It ages exceptionally well, developing delightful undertones of hazelnut over time, which helps enrich every dish with delicious complexity. And, with this mild, subtle taste and semi-hard, smooth texture, it’s a great versatile option for any menu. Whether it’s enhancing grilled cheese sandwiches or other paninis, it will give you and your consumers a luxurious experience every time.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",6/1.5#,Slice,1oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.5,3.66
land-o-lakes-lowfat-plain-yogurt-cup-6-2/,034500635639,LAND O LAKES LOWFAT PLAIN YOGURT CUP – 6/2#,"Crafted to be the perfect canvas for your culinary masterpieces, our lowfat plain yogurt helps you entice patrons with anything from tender yogurt-marinated proteins to creamy dressings and dips. And, with its smooth and creamy texture and mild flavor profile, you can effortlessly replace sour cream or mayo in your most popular recipes, offering a healthier twist without sacrificing flavor. No matter what you create, you can be sure it’s going to be delicious. Plus, with its 2-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",6/2#,Large Cup,,Ready to Eat,YOGURT,,
schreiber-monterey-jack-fancy-shreds-4-5/,071505014984,SCHREIBER MONTEREY JACK FANCY SHREDS – 4/5#,"Featuring a classic fancy shred for optimal coverage, this ready-to-use cheese adds a touch of visual appeal to any dish. And with its signature clean, buttery flavor and mild profile, it’s sure to please even the pickiest palates, making it a great choice for sprinkling over salads and tacos or melting in quesadillas, pasta, and casseroles.","MONTEREY JACK CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
schreiber-1-milk-6-32-fl-oz/,071505023962,SCHREIBER 1% MILK 6/32 FL OZ,"With all of the flavor but an even lower fat content, our 1% milk is more than just a beverage—it’s a promise of quality and versatility from a dairy expert. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","LOWFAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",6/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
land-o-lakes-lowfat-blended-blueberry-yogurt-tub-4-5/,034500633406,LAND O LAKES LOWFAT BLENDED BLUEBERRY YOGURT TUB – 4/5#,"Featuring the popular blueberry flavor profile and subtle cultured dairy notes, this lowfat yogurt is crafted to be an unforgettable treat for your consumers. And, with a smooth and creamy texture, it’s perfect for a variety of applications. Whether you’re serving it as a standalone breakfast or snack item, using it as a base for delectable parfaits, or blending it into refreshing smoothies, this yogurt is guaranteed to satisfy. Plus, with its 5-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, BLUEBERRIES, WATER, MODIFIED FOOD STARCH, NATURAL FLAVOR, CARRAGEENAN, PECTIN, CITRIC ACID, FRUIT AND VEGETABLE JUICE (COLOR), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",4/5#,Large Cup,,Ready to Eat,YOGURT,,
american-heritage-mexican-style-blend-fancy-shreds-12-8oz/,030900111728,AMERICAN HERITAGE MEXICAN STYLE BLEND FANCY SHREDS – 12/8OZ,"Mexican Style Blends are becoming a staple in consumers’ shopping carts. Our American Heritage Mexican Style Blend is made from a combination of Monterey Jack, Mild Cheddar, Queso Quesadilla, and Asadero cheeses, offering a unique flavor profile that’s incredibly satisfying. And, with its fancy shred, it provides great coverage and melts seamlessly on any Mexican dish, from tacos and quesadillas to burritos and nachos.","MONTEREY JACK CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED), QUESO QUESADILLA CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), ASADERO CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",12/8OZ,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
schreiber-mild-cheddar-slices-12-1-20-slices/,071505014847,SCHREIBER MILD CHEDDAR SLICES – 12/1# 20 SLICES,"Enjoy the rich, full flavor profile of our mild Cheddar cheese. With a hint of sweetness and smooth texture, it adds a burst of flavor to any dish. Whether melted over a burger, layered onto a cold sandwich, or anything in between, our perfectly cut slices ensure consistent quality and effortless convenience for your kitchen.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED. CONTAINS: MILK",12/1#,Slice,0.8oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.5,3.66
raskas-cream-cheese-spread-portion-control-cup-100-1oz/,041389001011,RASKAS CREAM CHEESE SPREAD PORTION CONTROL CUP – 100/1OZ,"Want to add a creamy touch to your offerings? These cream cheese portion cups are the perfect solution. With their soft, spreadable texture and mild flavor profile, they’re versatile enough to enhance a variety of dishes. Whether you’re spreading them on a bagel or pastry, mixing them into a flavorful spread, or incorporating them into sandwiches and wraps, these cream cheese portion cups will elevate your kitchen creations effortlessly. Plus, their convenient size makes them easy to store and serve on breakfast buffets.","PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, GUAR GUM, CITRIC ACID, XANTHAN GUM, CAROB BEAN GUM, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",100/1OZ,Portion,,SPREADING,CREAM CHEESE,,
schreiber-pasteurized-process-swiss-slices-4-5-160-slices/,071505014045,SCHREIBER PASTEURIZED PROCESS SWISS SLICES – 4/5# 160 SLICES,"Take your culinary creations to new heights of flavor and satisfaction. Schreiber Pasteurized Process Swiss Slices have a flavor profile that helps you delight taste buds with every bite. It features a smooth, medium-firm texture and perfect melt when heated, making it the perfect addition to a wide range of dishes like crispy chicken sandwiches, classic grilled cheese, juicy burgers, and hot ham and cheese.","PART-SKIM MILK, CREAM, WATER, SODIUM CITRATE, SALT, MILK, CHEESE CULTURE, CITRIC ACID, SORBIC ACID (PRESERVATIVE), ENZYMES, SOY LECITHIN. CONTAINS: MILK, SOY",4/5#,Slice,0.5oz.,PLACEHOLDER,PROCESSED CHEESE,3,3
yellow-pasteurized-process-sharp-american-slices-6-3-5-210-slices/,030900401225,YELLOW PASTEURIZED PROCESS SHARP AMERICAN SLICES – 6/3.5# 210 SLICES,"Crafted to streamline kitchen prep and reduce waste, our Yellow Pasteurized Process Sharp American Slices offer a delightful blend of flavor and texture to elevate your culinary creations. it’s ready to eat and features EZ Pick staggered slices for effortless separation, making preparation a breeze. And, with a clean, slightly salty, sharp American flavor profile and a moderate melt when heated, it’s the perfect addition to anything from classic dishes like burgers, grilled cheese sandwiches, and crispy chicken sandwiches to more inventive recipes like smashed burger tacos.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), ENZYMES, CITRIC ACID, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",6/3.5#,Slice,0.27oz.,Hot Application - Internal Melt,PROCESSED CHEESE,2.2,2.2
schreiber-pasteurized-process-pepper-jack-slices-4-5-120-slices/,071505013666,SCHREIBER PASTEURIZED PROCESS PEPPER JACK SLICES – 4/5# 120 SLICES,"Schreiber Pasteurized Process Pepper Jack Slices are your go-to for convenience, flavor, and all-around melty goodness! With their slightly salty Monterey Jack flavor profile and a hint of mild heat from peppers, they’re perfect for giving your menu items an extra kick of deliciousness. Ready-to-eat and hassle-free, they require no prep, so they’re perfect for any meal occasion from breakfast sandwiches to juicy burgers to adding a spicy twist to your consumers’ favorite grilled cheese sandwich.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, JALAPENO PEPPERS, JALAPENO PEPPER PUREE, SORBIC ACID (PRESERVATIVE), JALAPENO PEPPERS*, ENZYMES, RED BELL PEPPERS*, CITRIC ACID, SOY LECITHIN, VINEGAR, NATURAL FLAVOR. *DRIED CONTAINS: MILK, SOY",4/5#,Slice,0.67oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3.375,3.375
schreiber-1-milk-12-32-fl-oz-2/,071505023962,SCHREIBER 1% MILK 12/32 FL OZ,,"LOWFAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",12/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
schreiber-extra-sharp-cheddar-white-loaf-2-5/,071505024358,SCHREIBER EXTRA SHARP CHEDDAR WHITE LOAF – 2/5#,"Schreiber Extra Sharp Cheddar White Loaf boasts a rich and full taste that leaves a bold and delicious impression. Its firm body and smooth, slightly crumbly texture make it perfect for shredding, slicing, or cubing, making it versatile enough to include on cheese platters or to enhance sandwiches, burgers, omelets, pasta, or soups. This incredible cheese is sure to impress you, no matter how you choose to serve it.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",2/5#,Chunk,,Ready to Eat,NATURAL CHEESE,,
cream-cheese-substitute-bulk-1-30/,071505017589,CREAM CHEESE SUBSTITUTE BULK – 1/30#,"With its smooth, creamy, irresistible texture, this cream cheese substitute is not only the perfect alternative for spreading on bagels but also excels in a variety of baked goods and fried applications. Plus, it’s nutritionally equivalent to regular cream cheese, making it a versatile one-to-one replacement in your most popular recipes.","SKIM MILK, PALM OIL, CHEESE CULTURE, CONTAINS 2% OR LESS OF BUTTER FAT, CAROB BEAN GUM, CITRIC ACID, CREAM, GUAR GUM, LACTIC ACID, MILK, NATURAL FLAVOR, SALT, SODIUM STEAROYL LACTYLATE, VITAMIN A PALMITATE, XANTHAN GUM. CONTAINS: MILK",1/30#,Bulk,,Baking/Frosting; Frying,CREAM CHEESE,,
schreiber-pasteurized-process-swiss-slices-4-5-flow-through-wrapper-120-slices/,071505013673,SCHREIBER PASTEURIZED PROCESS SWISS SLICES – 4/5# FLOW THROUGH WRAPPER 120 SLICES,"Take your culinary creations to new heights of flavor and satisfaction. Schreiber Pasteurized Process Swiss Slices have a flavor profile that helps you delight taste buds with every bite. It features a smooth, medium-firm texture and perfect melt when heated, making it the perfect addition to a wide range of dishes like crispy chicken sandwiches, classic grilled cheese, juicy burgers, and hot ham and cheese.","PART-SKIM MILK, CREAM, WATER, SODIUM CITRATE, SALT, MILK, CHEESE CULTURE, CITRIC ACID, SORBIC ACID (PRESERVATIVE), ENZYMES, SOY LECITHIN. CONTAINS: MILK, SOY",4/5#,Slice,0.67oz.,PLACEHOLDER,PROCESSED CHEESE,3.375,3.375
cream-cheese-with-carob-bean-gum-bulk-1-30/,071505016674,CREAM CHEESE WITH CAROB BEAN GUM BULK – 1/30#,"With its clean, mild flavor profile, and smooth, medium-firm texture, this cream cheese is perfect for whipping up cheesecakes, frostings, and toppings, or helping you create irresistible sweet and savory dishes. Plus, with its convenient bulk-size package, you can say goodbye to the hassle and waste of dealing with smaller options.","PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, CAROB BEAN GUM. CONTAINS: MILK",1/30#,Bulk,,Baking/Frosting,CREAM CHEESE,,
land-o-lakes-lowfat-blended-peach-yogurt-cup-6-2/,034500635653,LAND O LAKES LOWFAT BLENDED PEACH YOGURT CUP – 6/2#,"Give your menu a burst of freshness with these lowfat peach yogurt cups. Perfectly tailored for moderate-volume applications, each spoonful has a peach flavor profile, accented by subtle cultured dairy notes. And, with its smooth and creamy texture, it’s a delicious addon to your breakfast or snack offerings all year round, whether served on its own, as a parfait base, or blended into refreshing smoothies. Plus, with its 2-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, WATER, MODIFIED FOOD STARCH, PEACHES, NATURAL FLAVOR, PECTIN, CARRAGEENAN, CITRIC ACID, ANNATTO EXTRACT AND VEGETABLE JUICE (COLOR), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",6/2#,Large Cup,,READY TO EAT,YOGURT,,
schreiber-mild-cheddar-snack-cubes-4-5/,071505015875,SCHREIBER MILD CHEDDAR SNACK CUBES – 4/5#,"Schreiber Mild Cheddar Snack Cubes offer a beloved sweet Cheddar flavor that is a snacking staple. Ready to serve, these cubes guarantee uniformity in cut and quality, streamlining your service while reducing labor costs and eliminating waste. They’re a versatile addition to any menu and ideal for snacking occasions like cheese trays, paired with fruit and nuts for a harmonious blend of flavors and textures that are sure to be a hit with everyone you cater to.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED. CONTAINS: MILK",4/5#,Snack,,Ready to Eat,NATURAL CHEESE,,
