name,address,email,phone,domain
Presto Products Company,"670 N Perkins St • Appleton, WI 54914-3133 United States",info@fresh-lock.com,(800) 265-0750,fresh-lock.com
Printpack,"2800 Overlook Parkway, NE • Atlanta, GA 30339 United States",info@printpack.com,(404) 460-7000,printpack.com
ProAmpac,"12025 Tricon Road • Cincinnati, OH 45246 United States",info@proampac.com,(513) 551-1274,proampac.com
Scholle Corporation,"200 W North Avenue • Northlake, IL 60164 United States",northamerica@scholleipn.com,(708) 836-3651,sig.biz
"Schur Packaging Systems, Inc.","3200 Lionshead Avenue Suite 110 • Carlsbad, CA 92010 United States",schurstarusa@schur.com,(760) 688-7350,schurstarusa.com
Sealed Air Corporation,"2415 Cascade Pointe Boulevard • Charlotte, NC 28208 United States",info@sealedair.com,(980) 221-3235,sealedair.com
Sealstrip,"103 Industrial Drive • Gilbertsville, PA 19525 United States",info@sealstrip.com,(888) 658-7997,sealstrip.com
Selig Group,"150 North Martingale Rd Ste 860 • Schaumburg, IL 60173 United States",marketing@seligsealing.com,(815) 414-8919,seliggroup.com
Soojoung Corporation,"797-7 Hobeop-myeon, Joongboodaero • Icheon-si, Gyeonggi-do, Korea, Republic of",prosource@pmmi.org?subject=(Soojoung%20Corporation)%20Profile%20Page%20inaccuracy,0316384141,soojoung.com
Spartech,"11650 Lakeside Crossing Court • St. Louis, MO 63146 United States",prosource@pmmi.org?subject=(Spartech)%20Profile%20Page%20inaccuracy,(314) 569-7400,spartech.com
Südpack Verpackungen Gmbh + Co.Kg,"Jaegerstrasse 23 • Ochsenhausen, D-88416 Germany",info@suedpack.com,+49 7352 925 - 1358,suedpack.com
Taghleef Industries Inc.,"800 Prides Crossing, Ste 200 • Newark, DE 19713 United States",staff.usa@ti-films.com,(800) 688-2044,ti-films.com
Taisei Lamick USA,"2416 Estes Avenue • Elk Grove Village, IL 60007 United States",info@lamick.biz,(847) 258-3283,taiseilamick.com
Takigawa Corporation,"1365 Parkway Drive • Bardstown, KY 40004 United States",sales@takigawa-corp.com,(502) 350-6483,takigawa-corp.com
TC Transcontinental Packaging,"8700 W Bryn Mawr Ave Suite 1000N • Chicago, IL 60631-4607 United States",info@tc.tc,(773) 877-3300,tctranscontinental.com
Teinnovations LLC,"700 N. Commerce St. • Aurora, IL 60504 United States",prosource@pmmi.org?subject=(Teinnovations%20LLC)%20Profile%20Page%20inaccuracy,(630) 393-0012,teinnovations.com
TekniPlex Consumer Products,"460 E. Swedesford Road, Suite 3000 • Wayne, PA 19087 United States",info@tekni-plex.com,(484) 690-1520,tekni-plex.com
TekniPlex Healthcare,"460 E. Swedesford Road • Wayne, PA 19087 United States",info@tekni-plex.com,(484) 690-1520,tekni-plex.com
TG Packaging Solutions LLC,"2365 Township Road, Suite A • Charlotte, NC 28273 United States",info@tgpackagingsolutions.com,(704) 900-7498,tgpackagingsolutions.com
"Toray Plastics (America), Inc.","50 Belver Ave • North Kingstown, RI 02852-2596 United States",rimarketing@toraytpa.com,(401) 294-4511,toraytpa.com
"Totai America, Inc.","19675 Mariner Ave • Torrance, CA 90503 United States",sales@totai.us,(310) 214-8700,totai.us
Unified Flex Packaging Technologies,"3033 Southview Road • Appleton, WI 54913 United States",leads@unifiedflex.com,(866) 369-4181,unifiedflex.com
Veritiv,"1000 Abernathy Road Northeast, Suite 1700 • Atlanta, GA 30328 United States",insidesales@veritivcorp.com,(770) 391-8200,veritivcorp.com
"Volm Companies, Inc.","1804 Edison St • Antigo, WI 54409-2438 United States",prosource@pmmi.org?subject=(Volm%20Companies%2C%20Inc.)%20Profile%20Page%20inaccuracy,(800) 253-4737,volmcompanies.com
"Winpak Lane, Inc.","1365 North Ayala Drive • Rialto, CA 92376 United States",info@winpak.com,(909) 885-0715,winpak.com
WJ Packaging Solutions Corp.,"5355 Parkwood Place • Richmond, BC V6Y3E6 Canada",info@wjpkg.com,(604) 303-5920,wjpkg.com
Zacros America Inc.,"220 Lake Drive • Newark, DE 19702 United States",prosource@pmmi.org?subject=(Zacros%20America%20Inc.)%20Profile%20Page%20inaccuracy,(800) 890-1183,zacrosamerica.com
"Zip-Pak, an ITW Company","475 N. Gary Avenue • Carol Stream, IL 60188 United States",info@zippak.com,(800) 488-6973,zippak.com
Algus Packaging,"200 N. Peace Road • DeKalb, IL 60115-9500 United States",algus@algus.com,(815) 756-1881,algus.com
Amcor Rigid Packaging,"935 Technology Drive • Ann Arbor, MI 48103 United States",arpna_sales_info@amcor.com,(734) 302-2802,amcor.com
Amcor Rigid Packaging,"935 Technology Drive • Ann Arbor, MI 48103 United States",arpna_sales_info@amcor.com,(734) 302-2802,amcor.com
Anchor Packaging,"13515 Barrett Parkway Drive Suite 100 • St. Louis, MO 63021-5870 United States",info@anchorpac.com,(314) 822-7800,anchorpackaging.com
Aripack,"9411 Ditmas Avenue • Brooklyn, NY 11236 United States",sales@aripack.com,(718) 398-4850,aripack.com
Be Green Packaging,"4255 Grays Highway • Ridgeland, SC 29936 United States",gwen.g@begreenpackaging.com,(843) 717-2636,begreenpackaging.com
Chubby Gorilla Inc,"4320 N Harbor Blvd • Fullerton, CA 92835 United States",info@chubbygorilla.com,(844) 365-5218,chubbygorilla.com
"DariFill, Inc","750 Green Crest Dr • Westerville, OH 43081 United States",info@darifill.com,(614) 890-3274,darifill.com
"Double H Plastics, Inc.","50 West Street Road • Warminster, PA 18974 United States",sales@doublehplastics.com,(215) 347-1306,doublehplastics.com
"DURE Co., Ltd.","39, Jungbu-daero 866beon-gil • Icheon; Gyeonggi, 17393 Korea, Republic of",sales@durepack.com,82(105)3298241,durepack.com
"Elemental Container, Inc.","150 Mt Bethel Road Building 2 • Warren, NJ 07059 United States",prosource@pmmi.org?subject=(Elemental%20Container%2C%20Inc.)%20Profile%20Page%20inaccuracy,(908) 687-7720,aluminumbottles.com
"Idemitsu Unitech Co., Ltd.","NMF Shiba Bldg. 6F, Shiba 4 Chome • Minato Ku, 1080014 Japan",info@idemitsu.com,81(3686)58858,idemitsu.com
IPL Inc,"140 Commerciale Street • St Damien, QC G0R 2Y0 Canada",info.iplp@iplglobal.com,(418) 789-2880,ipl-plastics.com
Klöckner Pentaplast,"3585 Klockner Rd. • Gordonsville, VA 22942 United States",info@kpfilms.com,(540) 832-1427,kpfilms.com
"Mercury Plastics, Inc.","4535 W. Fullerton Avenue • Chicago, IL 60639 United States",sales@mercuryplasticsinc.com,(773) 486-0880,mercuryplasticsinc.com
ORBIS Corporation,"P.O. Box 389 • Oconomowoc, WI 53066-0389 United States",info@orbiscorporation.com,(262) 560-5364,orbiscorporation.com
Packline USA,"9555 Hyssop Drive • Rancho Cucamonga, CA 91730 United States",info@packlineusa.com,(909) 392-8000,packlineusa.com
Placon,"6096 McKee Road • Madison, WI 53719-5114 United States",prosource@pmmi.org?subject=(Placon)%20Profile%20Page%20inaccuracy,(608) 271-5634,placon.com
Plastic Ingenuity,"1017 Park St • Cross Plains, WI 53528 United States",info@plasticingenuity.com,(608) 798-6116,plasticingenuity.com
Plastipak Packaging Inc.,"41605 Ann Arbor Road • Plymouth, MI 48170 United States",info@plastipak.com,(734) 354-7247,plastipak.com
"Point Five Packaging, LLC","1158 Tower Lane • Bensenville, IL 60106 United States",info@p5pkg.com,(847) 678-5016,p5pkg.com
Polipa North America,"29 Emmons Dr Ste E30 • Princeton, NJ 08540-5982 United States",info@polipa.com,(609) 688-1034,polipa.com
Polytainers Inc.,"197 Norseman Street • Toronto, ON M8Z 2R5 Canada",info@polytainersinc.com,(416) 239-7311 EXT 1158,polytainersinc.com
"Preform Solutions, Inc.","3801 N 4th Ave • Sioux Falls, SD 57104-0655 United States",sales@preformsolutions.com,(605) 335-6478,preformsolutions.com
Printpack,"2800 Overlook Parkway, NE • Atlanta, GA 30339 United States",info@printpack.com,(404) 460-7000,printpack.com
Priority Plastics,"500 Industrial Park Dr • Portland, IN 47371-9399 United States",ppi@priorityplastics.com,(800) 670-0448,priorityplastics.com
Rexfab Corp.,"2791 Circleport Drive • Erlanger, KY 41018 United States",info@rexfab.com,(819) 846-4490,rexfab.com
Scholle Corporation,"200 W North Avenue • Northlake, IL 60164 United States",northamerica@scholleipn.com,(708) 836-3651,sig.biz
Sonoco,"1 North Second Street • Hartsville, SC 29550 United States",corporate.communications@sonoco.com,(843) 383-7859,sonoco.com
Spartech,"11650 Lakeside Crossing Court • St. Louis, MO 63146 United States",prosource@pmmi.org?subject=(Spartech)%20Profile%20Page%20inaccuracy,(314) 569-7400,spartech.com
TekniPlex Consumer Products,"460 E. Swedesford Road, Suite 3000 • Wayne, PA 19087 United States",info@tekni-plex.com,(484) 690-1520,tekni-plex.com
"TRIPACK, LLC","401 Milford Parkway • Milford, OH 45150 United States",info@tripack.net,(866) 900-1255,tripack.net
Visstun,"6355 Sunset Corporate Drive • Las Vegas, NV 89120 United States",cupsales@visstuncups.com,(702) 251-8809,visstuncups.com
"Winpak Lane, Inc.","1365 North Ayala Drive • Rialto, CA 92376 United States",info@winpak.com,(909) 885-0715,winpak.com
Zacros America Inc.,"220 Lake Drive • Newark, DE 19702 United States",prosource@pmmi.org?subject=(Zacros%20America%20Inc.)%20Profile%20Page%20inaccuracy,(800) 890-1183,zacrosamerica.com
Amcor Flexibles North America,"2200 Badger Ave. • Oshkosh, WI 54904 United States",info@amcor.com,(800) 544-4672,amcor.com
Amcor Rigid Packaging,"935 Technology Drive • Ann Arbor, MI 48103 United States",arpna_sales_info@amcor.com,(734) 302-2802,amcor.com
Aptar Food + Beverage,"265 Exchange Drive Suite 301 • Crystal Lake, IL 60014 United States",info.fb@aptar.com,(847) 477-0424,aptar.com
"Bedford Industries, Inc.","1659 Rowe Avenue • Worthington, MN 56187 United States",bedford@bedford.com,(507) 376-4136,bedford.com
Cheer Pack North America,"1 United Dr • W Bridgewater, MA 02379-1027 United States",prosource@pmmi.org?subject=(Cheer%20Pack%20North%20America)%20Profile%20Page%20inaccuracy,(508) 927-7800,cheerpack.com
"Closure Systems International, Inc.","7820 Innovation Blvd Suite 100 • Indianapolis, IN 46278 United States",info@csiclosures.com,(317) 390-5000,csiclosures.com
"DariFill, Inc","750 Green Crest Dr • Westerville, OH 43081 United States",info@darifill.com,(614) 890-3274,darifill.com
Fres-co System USA Inc.,"3005 State Road • Telford, PA 18969 United States",contact@fresco.com,(215) 721-4600,fresco.com
"Idemitsu Unitech Co., Ltd.","NMF Shiba Bldg. 6F, Shiba 4 Chome • Minato Ku, 1080014 Japan",info@idemitsu.com,81(3686)58858,idemitsu.com
Kwik Lok Corporation,"P.O. Box 9548 • Yakima, WA 98909 United States",sales@kwiklok.com,(509) 248-4770,kwiklok.com
MRP Solutions,"100 North Field Dirve • Lake Forest, IL 60045 United States",sales@mrpcap.com,(330) 405-7762 x321,mrpcap.com
Polipa North America,"29 Emmons Dr Ste E30 • Princeton, NJ 08540-5982 United States",info@polipa.com,(609) 688-1034,polipa.com
Poly-Clip System Corp.,"1000 Tower Road • Mundelein, IL 60060 United States",prosource@pmmi.org?subject=(Poly-Clip%20System%20Corp.)%20Profile%20Page%20inaccuracy,(800) USA-CLIP,polyclip.com
Polytainers Inc.,"197 Norseman Street • Toronto, ON M8Z 2R5 Canada",info@polytainersinc.com,(416) 239-7311 EXT 1158,polytainersinc.com
ProAmpac,"12025 Tricon Road • Cincinnati, OH 45246 United States",info@proampac.com,(513) 551-1274,proampac.com
Scholle Corporation,"200 W North Avenue • Northlake, IL 60164 United States",northamerica@scholleipn.com,(708) 836-3651,sig.biz
Silgan Equipment Company,"1301 W. Dugdale Road • Waukegan, IL 60085 United States",prosource@pmmi.org?subject=(Silgan%20Equipment%20Company)%20Profile%20Page%20inaccuracy,(847) 336-0552,silgan.com
TekniPlex Consumer Products,"460 E. Swedesford Road, Suite 3000 • Wayne, PA 19087 United States",info@tekni-plex.com,(484) 690-1520,tekni-plex.com
Visstun,"6355 Sunset Corporate Drive • Las Vegas, NV 89120 United States",cupsales@visstuncups.com,(702) 251-8809,visstuncups.com
"Volm Companies, Inc.","1804 Edison St • Antigo, WI 54409-2438 United States",prosource@pmmi.org?subject=(Volm%20Companies%2C%20Inc.)%20Profile%20Page%20inaccuracy,(800) 253-4737,volmcompanies.com
3M,"3M Center Bldg 220-04-S-04 • St. Paul, MN 55144-1000 United States",lsoule@mmm.com,(888) 364-3577,3m.com
"Adhesive Products, Inc.","520 Cleveland Avenue • Albany, CA 94710 United States",sales@adhesiveproductsinc.com,(510) 526-7616,adhesiveproductsinc.com
Amcor Flexibles North America,"2200 Badger Ave. • Oshkosh, WI 54904 United States",info@amcor.com,(800) 544-4672,amcor.com
Armor USA Inc,"3000 Earhart Court • Hebron, KY 41048 United States",prosource@pmmi.org?subject=(Armor%20USA%20Inc)%20Profile%20Page%20inaccuracy,(859) 689-2100,armor-iimak.com
Astro Packaging,"1300 North Jefferson Street • Anaheim, CA 92807 United States",sales@astropackaging.com,(800) 642-7876,astropackaging.com
Bestpack Packaging Systems,"1425 S. Campus Avenue • Ontario, CA 91761 United States",sales@bestpack.com,(909) 987-4258,bestpack.com
"Bostik, Inc.","11320 Watertown Plank Road • Wauwatosa, WI 53226 United States",industrial-sales@bostik.com,(414) 774-2250,bostik.com
Brown Adhesives & Equipment,"901 Cambridge Dr • Elk Grove Village, IL 60007-2434 United States",cs@brownadhesives.com,(224) 415-3182,brownadhesives.com
"Citronix, Inc.","2241 S. Watson Road Building 200, Suite 111 • Arlington, TX 76010 United States",productsupport@citronix.com,(817) 633-3200,citronix.com
"Clysar, LLC","Highway 67 South • Clinton, IA 52732 United States",marketing@clysar.com,(888) 4Cl-ysar,clysar.com
Colquimica Adhesives,"2205 Beltway Boulevard Suite 200 • Charlotte, NC 28214 United States",colquimica.adhesives.us@colquimica.com,(704) 807-0084,colquimica.com
Crown Packaging Corp.,"17854 Chesterfield Airport Road • Chesterfield, MO 63005 United States",info@crownpack.com,(888) 880-0852,crownpack.com
Dae Eun / Smarpack,"430 Jack Enders Boulevard • Berryville, VA 22611 United States",daeeunglobal@gmail.com,(571) 354-8967,daeeunintl.com
EBS Ink-Jet Systems USA,"1840 Industrial Drive Suite 200 • Libertyville, IL 60048 United States",sales@xn--ebsinkjet-x79d.com,(847) 996-0739,ebs-inkjet-usa.com
"Felins, Inc.","W204N13055 Goldendale Rd • Richfield, WI 53076 United States",sales@felins.com,(414) 355-7747,felins.com
"Gem Gravure Co., Inc.","112 School Street • West Hanover, MA 02339 United States",info@gemgravure.com,(781) 878-0456,gemgravure.com
Henkel Corporation,"10 Finderne Ave Suite B • Bridgewater, NJ 08807-3365 United States",info@henkel-adhesives.com,(866) 443-6535,na.henkel-adhesives.com
HSAUSA,"150 Williams Street • Perth Amboy, NJ 08861 United States",sales@hsausa.com,(732) 324-0800,hsausa.com
Impackt Packaging Solutions,"131 Ethel Rd W • Piscataway, NJ 08854 United States",prosource@pmmi.org?subject=(Impackt%20Packaging%20Solutions)%20Profile%20Page%20inaccuracy,(908) 460-7578,impacktpkg.com
"Industrias Tuk, S.A. De C.V. / Hystik, Inc.","12941 North Fwy Suite 550 • Houston, TX 77060-1243 United States",infona@hystik.com,+52 81 8221 7400,tuk.com.mx
"InkJet, Inc.","11111 InkJet Way • Willis, TX 77378 United States",marc.berger@inkjetinc.com,(936) 890-7493,inkjetinc.com
IPG (Intertape Polymer Group),"100 Paramount Drive Suite 300 • Sarasota, FL 34232 United States",info@itape.com,(888) 898-7834,itape.com
Jowat Corporation,"5608 Uwharrie Rd • Archdale, NC 27263-4167 United States",info@jowat.com,(336) 434-9000,jowat.com
Kao Collins Inc.,"1201 Edison Avenue • Cincinnati, OH 45216 United States",info@kaocollins.com,(513) 948-9000,kaocollins.com
Malpack Stretch Film,"510 Finley Avenue • Ajax, ON L1S 2E3 Canada",info@malpack.com,(416) 951-6188,malpack.com
M.R. Machine Knives Ltd - MRMK,"Manor Drive • Dinnington, S25 3QU United Kingdom",sales@mrmk.co.uk,01909519815,mrmk.co.uk
"Navilux, S.A. de C.V.","Santa Rosalia #106 Col. Insurgentes San Borja • Alc. Benito Juarez, DF 03100 Mexico",prosource@pmmi.org?subject=(Navilux%2C%20S.A.%20de%20C.V.)%20Profile%20Page%20inaccuracy,52-555-4885170,navitek.com.mx
Packline USA,"9555 Hyssop Drive • Rancho Cucamonga, CA 91730 United States",info@packlineusa.com,(909) 392-8000,packlineusa.com
Peacock Products,"48 Woodbine St. • Bergenfield, NJ 07621 United States",prosource@pmmi.org?subject=(Peacock%20Products)%20Profile%20Page%20inaccuracy,(201) 385-5585,peacockproducts.com
Potdevin Machine,"32 New Rd • Madison, CT 06443 United States",sales@potdevin.com,(201) 288-1941,potdevin.com
Shorr Packaging,"4000 Ferry Road • Aurora, IL 60502 United States",info@shorr.com,(888) 885-0055,shorr.com
Shurtape Technologies,"1712 8th Street Dr SE • Hickory, NC 28602 United States",custservice@shurtape.com,(828) 322-2700,shurtape.com
Signode,"Hidden River Corporate Center Two 14025 Riveredge Drive Suite 500 • Tampa, FL 33637 United States",webinfo@signode.com,(800) 323-2464,signode.com
Smith Corona,"3830 Kelley Ave • Cleveland, OH 44114 United States",support@smithcorona.com,(216) 426-5637,smithcorona.com
Squid Ink Manufacturing,"7041 Boone Avenue North • Brooklyn Park, MN 55428 United States",info@squidink.com,(763) 398-1727,squidink.com
"StraPack, Inc.","21075 Alexander Court Unit F • Hayward, CA 94545 United States",hayward1@strapack.com,(510) 475-6000,strapack.com
Takigawa Corporation,"1365 Parkway Drive • Bardstown, KY 40004 United States",sales@takigawa-corp.com,(502) 350-6483,takigawa-corp.com
Tape Printers Inc.,"155 Allen Blvd Suite A • Farmingdale, NY 11735-5640 United States",info@tapeprintersinc.com,(800) 899-8273,tapeprintersinc.com
TC Transcontinental Packaging,"8700 W Bryn Mawr Ave Suite 1000N • Chicago, IL 60631-4607 United States",info@tc.tc,(773) 877-3300,tctranscontinental.com
Technical Adhesives Limited,"3035 Jarrow Ave • Mississauga, ON L4X 2C6 Canada",info@technicaladhesives.com,(905) 625-1284,technicaladhesives.com
TG Packaging Solutions LLC,"2365 Township Road, Suite A • Charlotte, NC 28273 United States",info@tgpackagingsolutions.com,(704) 900-7498,tgpackagingsolutions.com
TGW International,"5 Braco Int Blvd. • Wilder, KY 41076 United States",sales@tgwint.com,(800) 407-0173,tgwint.com
The Reynolds Company,"10 Gates St • Greenville, SC 29611-4912 United States",bonds@reynoldsglue.com,(864) 232-6791,reynoldsglue.com
Veritiv,"1000 Abernathy Road Northeast, Suite 1700 • Atlanta, GA 30328 United States",insidesales@veritivcorp.com,(770) 391-8200,veritivcorp.com
Vibac Americas,"12250 Boul. Industriel • Montreal, QC H1B 5M5 Canada",sales@vibac.com,(514) 640-0250,vibac.com
Videojet Technologies Inc.,"1500 Mittel Blvd. • Wood Dale, IL 60191 United States",inboxusa@videojet.com,(630) 860-7300,videojet.com
York Saw & Knife Co. Inc.,"295 Emig Road • York, PA 17406 United States",info@yorksaw.com,(800) 233-1969,yorksaw.com
Zhejiang Zhongcheng Packing Material Co. Ltd.,"9830 Commerce Pkwy • Lenexa, KS 66219-9604 United States",info@zhongdausa.com,86  5734187,zhongdausa.com
Accurate Box Company,"86 Fifth Avenue • Paterson, NJ 07524 United States",sales@accuratebox.com,(973) 345-2000,accuratebox.com
Crown Packaging Corp.,"17854 Chesterfield Airport Road • Chesterfield, MO 63005 United States",info@crownpack.com,(888) 880-0852,crownpack.com
DS Smith,"600 Peachtree Street NW • Atlanta, GA 30308 United States",info@dssmith.com,(770) 335-7730,dssmith.com
Edibel USA Packaging Solutions Inc.,"24285 Katy Freeway Suite 615 • Katy, TX 77494 United States",info@edibel.com,(281) 935-8986,edibel.com
"Elopak, Inc.","46962 Liberty Dr • Wixom, MI 48393-3693 United States",infoamericas@elopak.com,(248) 486-4600,elopak.com
Emirates Printing Press,"24 B Street Al Quoz Industrail Area 2 • Dubai, 5106 United Arab Emirates",epp@eppdubai.com,0097145039999,eppdubai.com
Georgia-Pacific Corrugated,"133 Peachtree St. NE 15th Floor P.O. Box 105605 • Atlanta, GA 30303 United States",prosource@pmmi.org?subject=(Georgia-Pacific%20Corrugated)%20Profile%20Page%20inaccuracy,(404) 652-6201,corrugated.gppackaging.com
Graphic Packaging International,"1500 Riveredge Parkway NW Suite 100 • Atlanta, GA 30328 United States",marketinginformation@graphicpkg.com,(770) 240-7200,graphicpkg.com
International Paper,"6400 Poplar Avenue T3-9-102 • Memphis, TN 38197 United States",internationalpaperpackaging@ipaper.com,(901) 419-4173,internationalpaper.com
Metsä Board Americas,"301 Merritt 7 Second Floor • Norwalk, CT 06851 United States",info@metsagroup.com,(203) 321-5685,metsagroup.com
Orora Packaging Solutions,"6600 Valley View Street • Buena Park, CA 90620 United States",info@ororapackagingsolutions.com,(714) 267-4229,ororapackagingsolutions.com
Packaging Corp. of America,"650 Forest Edge Drive • Vernon Hills, IL 60061 United States",sales@packagingcorp.com,(847) 482-3000,packagingcorp.com
Pactiv Evergreen,"2400 Sixth Street SW • Cedar Rapids, IA 52404 United States",judy.zeigler@pactivevergreen.com,(219) 924-4120,pactivevergreen.com
Romanow Inc,"346 University Ave • Westwood, MA 02090 United States",sales@romanowcontainer.com,(781) 320-9200,romanowcontainer.com
Shafiis' Inc. DBA Tigerpress,"50 Industrial Dr • East Longmeadow, MA 01028-3102 United States",info@tigerpress.com,(720) 519-3303,tigerpress.com
Sonoco,"1 North Second Street • Hartsville, SC 29550 United States",corporate.communications@sonoco.com,(843) 383-7859,sonoco.com
TC Transcontinental Packaging,"8700 W Bryn Mawr Ave Suite 1000N • Chicago, IL 60631-4607 United States",info@tc.tc,(773) 877-3300,tctranscontinental.com
