Company Name,Company Type,Phone No,Website URL,Description
"AtkinsRéalis Life Sciences / Food & Beverage
                                Division","Construction, Engineering, Environmental",(514) 393-8000 x 57205,atkinsrealis.com,"The Life Sciences Division, within
AtkinsRéalis’ Engineering Services sector, is a
premier engineering solutions provider in multiple
industrial markets, including Food and Beverage,
the life sciences (Pharmaceuticals / Biotechnology
& Biologics), Fast moving Consumer Goods
(FMCG) / Consumer packaged goods (CPG),
process-based markets / manufacturing, Light
Chemicals, and the Energy industries.
Our expertise is backed by over 40 years of
experience in the Food & Beverage Market. We
deploy global capabilities locally to our clients
and deliver unique end-to-end services across the
whole life cycle of an asset including consulting,
advisory & environmental services, intelligent
networks & cybersecurity, design &
engineering, procurement, project &
construction management, operations &
maintenance, decommissioning and capital.
Animal nutrition & pet food
Coffee, juices and other beverages
Confectionary and chocolate
Dairy & cheese products
Fruits and vegetables
Grain storage, handling and processing
Meat and poultry
Ready-cooked meals, catering and food service
Sugar refineries
Warehouses and distribution centers
Wine and alcoholic beverages"
Atlantic Packaging,Packaging,(416) 298-8101,atlantic.ca,"Atlantic Packaging is a company with rich history,
culture, and an indomitable spirit to do good. For
the past 78 years, Atlantic Packaging has worked
towards preserving the environment and ensuring
not a single tree is cut to manufacture boxes. We
are proud to state that we save close to 14
million trees every year and continue to work
towards achieving a greener planet!
We strive to understand the customer’s
packaging requirements. We aim to tailor every
experience best suited for each individual client.
Our services go beyond delivering boxes: we
deliver on customer satisfaction by meeting
requirements through customized solutions.
We provide end-to-end packaging solutions to
our clients. From corrugated packaging to
recyclable paper bag products and retail displays,
we understand the market like no other. We oversee
all stages of product development from ideation to
deployment. We take charge right from recycling
material for manufacturing to finding the best
logistics and supply management solutions for your
business.
We provide more than just packaging – we
deliver an experience"
Axiom Millwrighting + Fabrication Inc,"All, Equipment",(226) 747-6826,axiomtrades.com,"Axiom Industrial Solutions is a multi-trade
contractor specializing in turn-key technical and
trade solutions for the Food and Beverage
manufacturing sector. Headquartered in Cambridge,
Ontario, Axiom extends our services across North
America with a mobile workforce of experienced
Project Managers, Millwrights, Pipers, and
Installers. Our services include:
Project Management
Millwrighting/Mechanical Installation
Piping
Custom Fabrication
Mechanical Design
Conveyors and Custom Equipment
Maintenance Support
Established in 2003 as a privately-owned
Canadian company, our extensive experience with
the food and beverage sectors position us an
industry leader. Truly understanding Food
Safety, all our staff are HACCP certified and
Axiom’s HACCP Interactive Program is an
initiative driven by Axiom and officially
audited by NSF Canada."
BDC,"All, Financial, Funding",(905) 988-2878,bdc.ca,"We are BDC, the Business Development Bank of
Canada and the only financial institution devoted
exclusively to entrepreneurs.
We help create and develop strong Canadian
businesses through financing, advisory services
and capital, with a focus on small and
medium-sized enterprises.
* We support entrepreneurs in all industries and
at all stages of development from 123 business
centres across Canada and online at bdc.ca.
* We’re committed to the long-term success of
Canadian entrepreneurs and we understand that a
business is more than just dollars and cents.
* We complement the role played by private-sector
financial institutions and have been serving
Canadian entrepreneurs since 1944.
* We are a financially sustainable Crown
corporation and we operate at arm’s length from
our sole shareholder, the Government of Canada."
BDO,"Consulting, Financial, IT",(416) 802-0900,bdo.ca,"BDO is a leading provider of professional
services, delivering a range of assurance &
accounting, tax, and advisory services.
Complemented by continuously advancing technology
expertise, ESG focus, and 100+ years of being
connected to local communities, we’re proud to
cultivate ongoing relationships with clients and
employees across Canada and beyond."
Blue Door Agency,Marketing,(416) 451-2233,bluedoor.agency,"Founded in 2017, Blue Door is an
award-winning marketing agency based in Toronto
and employs more than 30+ individuals in
marketing, communications, public relations,
digital advertising, and branding.
We operate across Canada and have direct
experience across several sectors, including food
and beverage, healthcare, technology, travel,
retail, hospitality, and municipal services. We
are unique in our ability to deliver across
traditional media, digital advertising, and
branding/design - all from under one roof.
We differentiate ourselves from other
agencies by being highly data-centric and ensuring
every campaign is directly tied to the numbers
that matter the most to our clients.
Our robust local, national and international
campaigns are fully integrated and include Digital
Strategies, Graphic Design, Social Media,
Influencer Relations, and Crisis Communications.
Due to the nature of our integrated model, clients
no longer require 2-3 agencies to complete the
same work. Blue Door offers a fully-integrated
model where website development, email marketing
and digital advertising happens under the same
roof as public relations and graphic design.
Each account is managed by a team of
seasoned professionals with the experience and
relationships that deliver results.
Learn more about us at :
bluedoor.agency/"
Bob’s Your Uncle,"All, Marketing",(416) 506-9930,byuagency.com,"Bob's Your Uncle provides a full range of
marketing & communications services for
clients across North America focused in the food
and beverage Industry. Known for quirky and
attention-getting creative campaigns, we help
startups become market leaders and established
brands become more successful.
We're a highly collaborative, hands-on crew of
brand strategy, digital, social and creative
professionals who understand the journey from
start up to dominance.
We are guided by three key principles required for
success in today's marketplace:
* Be the Best Storyteller
* Collaborate with others
* Embrace Simplicity
BYU supports food waste initiatives by providing
pro bono creative and strategic leadership
services to Second Harvest Food Rescue."
Brampton Economic Development Office,"All, Economic Development",416.606.3946,brampton.ca,"The Brampton Economic Development Office Provides
one-on-one assistance to help guide investors and
provide strategic advice in steering through the
development approval process. Whether you are
looking for customized guidance, expert sector
advice or access to funding programs, we can help.
Sector Leads
As Brampton moves to take a prominent position as
a major urban centre, our Economic Development
approach is transforming to match. Brampton’s
Economic Development Office has a new sector-based
approach, anticipating the skills and industries
of tomorrow, while accounting for traditional
strengths."
"BSA – Wiberg, by NovaTaste","All, Ingredients",(416) 735-7407,novataste.com,"BSA - Wiberg is a leading global company operating
in the global flavours and natural fine
ingredients markets. BSA - Wiberg has significant
production and development centres on all six
continents and markets and sells over 60,000
products to more than 30,000 customers in over 150
countries.
BSA - Wiberg’s products are intended mainly for
the food and beverages, flavour and fragrance
extracts, pharmaceutical, nutraceutical, health
food, functional food, food supplement and
cosmetics industries."
BSI Group,"Certification, Safety",(647) 458 4434,bsigroup.com,"BSI is the business improvement company that
enables organizations to turn standards of best
practice into habits of excellence. Working with
84,000 clients across 195 countries, we are a
truly international business with skills and
experience across many sectors, from automotive
and aerospace to food and pharmaceuticals.
BSI believes the world should be supplied with
safe, sustainable and socially responsible food.
We offer a broad range of certification and risk
management services to help all organizations
improve performance. Our solutions for the food
sector include certification, training,
assessment, supply chain software and
capacity-building services, to enable food
organizations to build trust and resilience in:
* Food quality and safety
* Environmental sustainability
* Occupational health, safety and well-being
* Information security
Read more about our services and products on our
website: bsigroup.com/en-CA"
Chem-Aqua,"Environmental, Water Treatment",(905) 457-2434,chemaqua.com,"Chem-Aqua provides custom designed water treatment
solutions for boilers, cooling towers and process
water systems. Our Resourcefully Green® approach
delivers outstanding results and savings to meet
sustainability goals, improve efficiencies,
increase asset life and minimize the risk of
Legionella bacteria and other waterborne pathogens
with a program of products, equipment and services
that address the unique requirements of each
system."
CHEP Canada,"All, Distribution, Pallets",(866) 261-2437,chep.com,"Our platforms and solutions enable profitability
and sustainability without having to compromise
one for the other. We manage, maintain, transport
and supply more than 300 million platforms that
are shared and reused by growers, manufacturers,
distributors and retailers.
For 60 years, we’ve empowered supply chains to use
higher quality platforms, connect with more
trading partners, reduce transportation, create
less waste, use less natural resources, lower
platform inventories and attain the efficiencies
of standardization.
CHEP manages, maintains, transports, and supplies
more than 300 million platforms for our customers.
Our higher quality pallets, containers, RPCs,
bins, trays and store displays support the
construction, handling and transport of more
efficient and sustainable product loads. CHEP
platforms and services play a critical role within
every leg and across every trading partner in the
supply chain."
Chicken Farmers Ontario,"All, Associations",(905) 637-0025,ontariochicken.ca,
CIBC,"All, Financial",(519) 357-5849,cibc.com,"Our agri-business team has the financial products,
services and advisory skills to meet your needs
from start-up, growth and through succession."
City of Hamilton,,(905) 546-2424 x5780,hamilton.ca,"The City of Hamilton’s Economic
Development Office is the central point of contact
for business assistance. Its services are geared
to serve new start-up companies, corporate
relocations, foreign direct investment, settlement
services and immigrant entrepreneurship and the
expansion and retention of existing business. Its
mission is to serve as the catalyst for continued
economic growth, job creation, and revitalization
in Hamilton.
The City of Hamilton’s staff of experienced
economic development professionals will work with
your business to provide the up-to-date
information and personal assistance needed to make
your business expansion and relocation seamless
and convenient. Our services also include:
Site-selection assistance
Information and research
Coordination of City of Hamilton services
Brownfield redevelopment
Industrial land development
Small business creation"
Container Pros,,(226) 820-2471,containerpros.ca,"We’re trusted across Ontario for
industry-leading container management. We’re known
for quality, efficiency, attention to detail,
customer service and addressing these six pain
points for manufacturers:
“We need more ROI per square foot of our floor
space.”
“We have no room to stage or wash our
containers.”
“We once again have to train a new employee on
container washing.”
“We have neither the time nor traceability to
recover containers from customers.”
“We send out too many containers that are either
unclean or in poor condition.”
“We got another customer complaint about the
condition of our containers.”
Services include: Sanitation, Inspection,
Repair, Warehousing/Asset Management of folding
and fixed wall IBC (intermediate bulk container)
totes, tubs, vats, and handheld containers,
trays, and pallets used in storage, transport,
movement, and filling of food ingredients in the
dairy, edible oil, liquid egg, bakery product,
protein, fruit purees, sauces, commodity
staples, and prepackaged consumer packaged goods
industry.
Learn more about us at :
Container Pros"
CSL,"All, Construction",519-658-2750 x226,collaborativestructures.com,"CSL is a multi-disciplined construction service
company, specializing in the Food & Beverage
Industry.
Since our inception in 2003, CSL has shown
significant growth that can be directly related to
our goal of providing exceptional services to our
Clients and our commitment to Project Execution
Excellence.
CSL has successfully delivered projects to many
different Food & Beverage Ontario members
ranging from small service contracts to weekend
shut-downs to major capital projects exceeding
$100 million. CSL's diverse internal structure
allows us to be nimble enough to complete a wide
variety of projects from the smallest of service
contracts to larger renovations or new builds.
For more information, please visit us at
www.collaborativestructures.com!"
Dillon Consulting Limited,"Engineering, Environmental",(519) 571-9833,dillon.ca,"Committed to leadership in environmental
consulting, Dillon partners with clients to
support their efforts toward environmentally
responsible, compliant and sustainable business
operations. Whether addressing liabilities,
facilitating regulatory compliance, managing
risks, or supporting opportunities, our
environmental services group has a proven track
record of success in developing solutions that are
innovative, technically sound, holistic,
sustainable, and cost-beneficial.
Dillon’s environmental management programs
provide assurance to investors, regulators, the
public, and customers that our clients are
operating in accordance with applicable
legislation and that appropriate strategies have
been identified for managing and mitigating
significant risks. Our teams of emissions, noise
and vibration experts work alongside governments
in developing policies to manage air quality and
with industry in creating and implementing
compliance strategies for air quality and
acoustics. Dillon implements water supply systems
and wastewater treatment facilities from small
on-site systems to large complex vertical works
and multidisciplinary projects.
Founded on the concept of a circular economy,
Dillon works with client to create and revitalize
modern waste management programs include
initiatives to encourage waste reduction,
realizing re-use opportunities, optimizing
material re-introduction, energy recovery, modern
waste collection methods, providing safe
management of residual waste and ensuring that
initiatives are supported by effective policies
and regulations.
In addition, our structural, mechanical,
electrical, and civil engineering professionals
provide creative solutions to unique problems
while continually improving the planning, design,
construction, and rehabilitation of commercial and
industrial facilities."
Ecolab,"All, Chemicals, IT, Sanitation",519 870 8038,ecolab.ca,"Ecolab is the global leader in water, hygiene and
energy technologies and services. Around the world
businesses in foodservice, food processing,
hospitality, healthcare, industrial, and oil and
gas markets choose Ecolab products and services to
keep their environment clean and safe, operate
efficiently and achieve sustainability goals."
EDC,"All, Export, Financial",519-858-6210,edc.ca,"Export Development Canada (EDC) is Canada’s export
credit agency and provides financing, credit
insurance, bonding solutions and international
trade advise to Canadian exporters. EDC’s mission
is to help Canadian companies go, grow and succeed
in markets across the world."
Enbridge,"Energy, Utilities",(519) 350-4533,enbridgegas.com,"Enbridge Gas is Canada’s largest natural gas
storage, transmission and distribution company
based in Ontario, with over 170 years of service
to customers. The distribution business provides
safe, affordable, reliable energy to about 3.8
million customers and is leading the transition to
a clean energy future through net-zero emissions
targets and investments in innovative low-carbon
energy solutions. The storage and transmission
business offers a variety of storage and
transportation services to customers at the Dawn
Hub, the largest integrated underground storage
facility in Canada and one of the largest in North
America. Enbridge Gas is owned by Enbridge (ENB),
a Canadian-based leader in energy transportation
and distribution. Learn more at
enbridgegas.com."
Enviro-Stewards Inc.,"All, Consulting, Environmental",(519) 578-5100,enviro-stewards.com,"Since its founding in 2000, Enviro-Stewards has
created environmental and economic sustainability
solutions for a wide range of businesses. These
solutions have helped businesses to alleviate
ongoing resource and financial concerns by
mitigating the source of their problems — not just
focusing on the symptoms. Taking a holistic
approach, our team conducts a full-spectrum
assessment and implementation, focused on
prevention, resource conservation, and improving
your bottom line. Rather than performing a
traditional audit, with a specific focus on
solving your end-state dilemma, we examine the
root cause in order to develop innovative and
sustainable solutions."
"Fanshawe College – Centre for Research and
                                Innovation","All, Education",(519) 452-4430 ext. 4121,fanshawec.ca,"Fanshawe is a comprehensive college serving the
greater London region by providing flexible
learning arrangements and experiential education
opportunities developed in response to labour
market needs.
One of Ontario’s largest colleges - with four
campuses in London, Simcoe, St. Thomas and
Woodstock - Fanshawe serves close to half a
million people with a promise to educate, engage,
empower and excite.
We offer more than 200 degree, diploma,
certificate and apprenticeship programs to 43,000
students each year, helping people unlock their
potential and achieve success in a variety of
disciplines including applied arts, business,
health care, human services, hospitality and
technology."
FCC Agribusiness and Agri-Food,"All, Financial",(519) 826-2020 x.39,fcc-fac.ca,"FCC Agribusiness and Agri-Food provides
specialized financial services, products and
resources for businesses that support primary
producers on both sides of the farm gate. Whether
you’re looking to minimize your operating costs,
diversify your assets or expand your business,
we’ll partner with you to take your operation
further. With over 50 years of history and a loan
portfolio that tops $36 billion. We partner with
over 100,000 customers from all areas of Canada’s
diverse agriculture industry and understand the
important role your business has to play."
Fidelio by Commsoft Technologies,"All, ERP",(514) 937-4519,commsoft.ca,"Fidelio is an all-in-one, intuitive ERP system
available on the cloud. We help growing food and
beverage SMEs take the digital turn. What we do
best? Provide SMEs with high-performance,
cutting-edge tools that are tailored to their
unique challenges."
Food Processing Skills Canada,"All, HR",(613) 237-7988,fpsc-ctac.com,"We are a non-profit skills council, providing
training courses, programs, and educational tools
for the Canadian and international food and
beverage workforce. Our wide variety of projects
and materials provide national support for the
industry to address human resources issues, as
well as ensure Canadian processors are equipped
with affordable learning tools, standards, and
resources to face the future confidently. To this
day, we stand as a top influencer and resource for
the industry."
Fuller Landau,Financial,(416) 645-6500,fullerllp.com,"Work together with people excited by your goals
and eager to address your unique business needs.
You’ll get straightforward advice and proactive
solutions from a team whose professional
commitment is also personal.We are an
accounting, tax, and advisory firm with a team of
over 125 people.
Our clients are leaders of private businesses,
high net worth families, and the advisors who
serve them.
You’ll experience true collaboration. Share your
excitement and aspirations for your business with
us and we’ll get behind your passion with smart,
full-service support that generates results."
GHD,"Automation, Engineering",(519) 340-4154,ghd.com,"We are a global professional services company that
leads through engineering, construction and
architectural expertise. Our forward-looking,
innovative approaches connect and sustain
communities around the world. Delivering
extraordinary social and economic outcomes, we are
focused on building lasting relationships with our
partners and clients. Established in 1928, we
remain wholly owned by our people. We are 10,000+
diverse and skilled individuals connected by over
200 offices, across five continents – Asia,
Australia, Europe, North and South America, and
the Pacific region."
Grain Farmers of Ontario,"All, Associations",(519) 763-3342,gfo.ca,"Grain Farmers of Ontario is the province’s largest
commodity organization, representing Ontario’s
28,000 barley, corn, oat, soybean and wheat
farmers. The crops they grow cover 6 million acres
of farm land across the province, generate over
$2.5 billion in farm gate receipts, result in over
$9 billion in economic output and are responsible
for over 40,000 jobs in the province."
"Harpak-ULMA Packaging, LLC","All, Automation, Packaging","(508) 884-2500, ext 125",harpak-ulma.com,"Harpak-ULMA Packaging offers a very broad range of
packaging technologies to suit many needs - from
simple, single components to highly complex,
automated, fully integrated packaging lines.
Discover our many capabilities including tray
forming, tray sealing, flow pack, VFFS, meal
assembly, thermoforming, automation, cartoning,
sleeving and case packing. Our full-service
solutions address package design, installation,
training, spare parts, service and customer
support. Our goal is to provide every G. Mondini
and ULMA solution with Rockwell Automation
integrated architecture and smart connectivity to
reduce solution complexity and maintenance costs,
while realizing better quality, capacity, and
throughput. We focus on lowering your total cost
of ownership and offering the most reliable
systems available."
Hood Packaging,Packaging,(905) 637-5611,hoodpkg.com,"Established in 1978 as Southern Bag
Corporation, Hood Packaging today has evolved into
a world-class packaging supplier, with 22 plants
located across North America. We make plastic film
and bags, woven polypropylene bags, coated and
laminated materials, and paper packaging. We are a
stable, strong and proud company. And we owe all
our success to one thing: our people.
Hood people make a lot more than packaging.
Sure, we know how to make our customers happy, and
we enjoy working in a safe, caring and sustainable
environment. But above all, we like to make
working here a great career. We support each
other. We thrive as a team. We succeed
together.
If you’d like to be a part of something
special, consider joining us. You’ll make
packaging that helps communities all across our
land. You’ll have a voice on issues that matter.
You’ll be rewarded for good work. And you’ll look
forward to coming to work every day."
Icicle,"ERP, Food Safety, Supply Chain",1 (800) 299-8955,icicletechnologies.com,"Icicle makes it easy for you to to balance
the demands of running a food business against the
requirements of regulators and third-party
certifications. We do this by bridging the gaps in
your business – the gap between food safety and
quality, the gap between traceability and
warehouse management, the gap between managing
your suppliers and your customers – and it’s all
in a single, unified digital system."
IFAB Engineering Partners Ltd.,"All, Engineering",519-957-1944,ifabpartners.com,"Our team at IFAB Engineering Partners Ltd. offers
significant practical expertise in hygienic
facility design and compliance with multiple food
processing regulations (CFIA, FDA, BRC, Campden,
HACCP). In-house professionals represent all
building engineering disciplines, and work in a
coordinated effort toward maximum efficiency.
Collective experience in the industry – including
many years of experience with operations teams at
some of the largest food companies in Canada –
leads to practical solutions, efficient facility
design, and access to an ever growing global
network of food and beverage specialists.
Areas of specialty include primary and secondary
protein processing, continuous line baking and
snack food production, dairy processing, vegetable
and thermal processing, confectionery, temperature
controlled buildings, beverage pasteurization, and
packaging.
Members of the IFAB Engineering Team have project
experience with a vast range of food and beverage
clients, including:
* A & E Dairy
* Aliments ASTA inc.
* Agromex-Pork
* Atlantic Beef Products Inc.
* Basha International Foods
* BHJ Canada
* Big Country Raw
* Blue Goose Pure Foods Ltd.
* Blendtek Fine Ingredients
* Bothwell Cheese
* Campbell’s
* Canada Bread Company Limited
* Cargill Meat Solutions
* Chudleigh’s
* Conestoga College
* Conestoga Meats
* Country Meats
* Delft Blue Food Innovations
* Dennis Group
* Donald’s Fine Foods
* Eden Valley Poultry
* Exceldor Cooperative
* Ferrero Canada Limited
* Fraser Valley Specialty Poultry
* Freshouse Foods
* Freshstone Brands Inc.
* Frito Lay Canada
* Frontmatec
* G. Brandt Meat Packers Ltd.
* Gay Lea Foods Co-operative Ltd
* Give and Go Prepared Foods
* Great Lakes Specialty Meats
* High Liner Foods
* High Park Holdings Ltd.
* High Park Farms
* Hung’s Noodle House
* HyLife Foods, Springhill Farms
* Ingenuity
* Janes Family Foods
* JJD & Son
* King Cole Ducks Limited
* Kitchen Partners Limited
* Les Viandes du Breton Inc.
* Lilydale Foods
* Manitoba Harvest
* Maple Leaf Foods
* Maple Lodge Farms
* Mariposa Dairy
* Matt & Steve’s
* McCain
* Outcast Foods
* The Minute Maid Company
* Mirexus Biotechnologies Inc.
* Mountain Top Foods Ltd.
* Newrest Corporation
* Northern Quinoa
* Olymel
* Pac-Rite Meat Products Inc.
* Pre Pak Meats
* Pioneer Meat Ltd.
* Queen Street Bakery
* Redpath Sugar Ltd.
* Redstone Food Consultants
* Reena Enterprises
* Reinhart Foods Limited
* Saputo Foods
* Shape Foods
* Sgamboro’s Signature Seafoods
* Sofina Foods
* Solis Foods Corporation Inc.
* Steeped Fine Loose Tea
* Surati Sweet Mart Limited
* Sysco
* Tender Choice Foods Inc.
* Thunder Creek Pork
* Trophy Foods Inc.
* Vantage Foods Inc.
* XL Foods
* Yorkshire Family Farms
* Yosemite Meat Co.
* YOSO
Our team of professionals is both eager and
talented, and provides a complete range of
services from concept design to construction
management. We have the ability and expertise to
tackle projects in all areas of the food and
beverage industries, and have partners to help
complete every aspect of the project.
We Work for Food!"
ifm efector Canada Inc.,"All, Automation, Equipment",855-436-2262,ifm.com,"After many years of intensive cooperation with our
customers in various industries, including food
& beverage, we have established ourselves in
the manufacturing / automation market as
service-oriented sensor specialists. Today, we are
represented by more than 7,300 employees in over
95 countries worldwide. Though we have grown into
a large, international company, we have still
maintained the virtues of our founding years: the
flexibility and individuality of a small
organization and the quality and professionalism
of a global enterprise. Still, our customers are
at the core of our work – ifm, always close to
you! Contact us at 855-IFM CANA (855-436-2262)."
JDL Builders,Construction,(647) 858-4855,jdlbuilders.ca,"JDL Builders is a privately owned and family
operated company. With industry experience of over
26 years we continuously strive to guide and
diligently execute project delivery. Our ethos is
simple, we treat our clients as an extension of
our team. Clients and all project stakeholders
must see through to project completion as one
cohesive united partnership. All of this in an
effort to deliver on time, on budget, and safely
executed projects.
We specialize in facility repairs and
maintenance works, capital improvements and plant
alterations. We retain a highly skilled work force
in house offering greater control over schedule
and cost efficiency."
Lee & Associates,,(416) 619-4400,lee-associates.com,"Lee & Associates offers an array of real
estate services tailored to meet the needs of the
company’s clients, including commercial real
estate brokerage, integrated services, and
construction services. Established in 1979, Lee
& Associates is now an international firm with
offices throughout the United States and Canada.
Our professionals regularly collaborate to make
sure they are providing their clients with the
most advanced, up-to-date market technology and
information."
"Loyalist College, Centre for Natural Products
                                & Medical Cannabis","Research, Testing",(613) 969-1913 x 2171,loyalistcnpmc.com,"The Centre for Natural Products and Medical
Cannabis (CNPMC) is an innovation hub within
Loyalist College with expertise in plant-based
technologies. We focus on supporting start-ups and
small- and medium-sized enterprises (SMEs) to
transform research results into high-quality and
innovative products and processes in the food and
beverage, natural products, agri-tech and cannabis
sectors.
The CNPMC offers a range of services
including extraction and advanced analytics,
formulation and product development, and molecular
and microbiological testing.
Specific services may include: •Shelf-life
testing •Flavour and aroma profiling •Product
development and optimization •Beverage testing for
quality assurance •Microbial testing for quality
assurance •Analytical testing of functional foods"
Millwright Local 1916,"All, Facilities, IT, Maintenance",(905) 385-2462,millwrightlocal1916.com,"We employ the safest, technically skilled
millwright workforce today. The 1916 mission is to
stand strong with our members and business
partners to help achieve success. We provide the
education advances in leadership, skill, quality,
productivity safety and attitude with a goal of
creating a constructive culture within the
construction industry and proving a competitive
workforce for our contactors and owners. All of
our certified tradespersons are HACCP training by
the GFTC ( Guelph Food and Technology Centre)
Using 1916 HACCP certified tradesperson is a solid
decision for HACCP registered establishments with
regards to proper documentation and internal and
external audits."
Miura,"Automation, Equipment, Facilities",(905)607-4289,miuraboiler.ca,"Miura stands as the premier choice for
boiler room products for food and beverage
producers worldwide for over 60 years. Miura’s
modular boiler installations are a major asset to
food companies who want to ensure quality of their
product while maximizing operational efficiency
and cutting their energy costs. Whether you’re a
dairy processor, beverage bottler, or meat
processing plant a modular boiler system allows
greater flexibility.
Miura delivers on-demand, modular steam
solutions tailored to industrial and commercial
needs, catering to processes requiring steam for
heating, sterilization, and humidification. With a
Miura steam boiler for food & beverage
production, food processing companies get the
flexibility to automatically turn boilers on or
off as needed, as well as meet steam demand at the
greatest efficiency during peak hours — all while
reducing overall wear and tear on the boilers
during non-peak hours.
Miura provides the Total Steam Solution
tailored to your boiler room needs. Covering
everything from boiler manufacturing, project
management, installation, maintenance and services
to water treatment and remote monitoring and
control."
