"id","masked_id","manufacturer_id","product_type","product_type_id","product_identifier","product_identifier_type","name","description","marketing_description","images","minimum_order_volume","minimum_order_volume_type","unit_count","unit_count_type","item_weight","item_weight_unit","ingredients","flavors","packaging_options","additional_info","metadata","external_links","status","created_at","updated_at"
1393,HG166YNT12,561365,INGREDIENT,1422,,,METBROMA™ Bromelain,"Bromelain is a proteolytic enzyme isolated from the pineapple stem that breaks down other proteins, such as collagen and muscle fiber. The proteolytic enzymes are sulfhydryl proteases, a free sulfhydryl group of a cysteine amino acid side chain is required for function. Bromelain helps to inhibit pro-inflammatory compounds, similar to non-steroidal anti-inflammatory drugs reducing swelling & pain. It helps in assisting burn debridement (the removal of dead, burned tissue), preventing blood clots, enhancing fat removal from the body, aiding digestion and reducing sinus symptoms, such as congestion. It is also used for treating arthritis, gout urinary tract infections, ulcerative colitis, and chronic obstructive pulmonary disease.                                                    

Odourless and available in Powder, Granules and Pellets form. Validated by GDU, USP NF              ",,{https://images.keychain.com/wlp/561365/wlp_477e357e-7ed5-4d5b-b99e-b7d1cd7f5fbe.png},25.000,Kg,,,,,,,,,"",,inactive,2025-03-26 16:36:21.797,2025-03-26 16:36:21.797
1360,V7W1C8HDND,28419,CATEGORY,1974,"44a1ae03-f64a-448c-b29e-4b712de14f09",,Sous Vide Turkey,"Sous vide is French for “under vacuum “ and refers to the Chef prepared method of cooking products in a vacuum sealed bag. Sous vide prepared products produce the highest quality, most consistent, most predictable, fully prepared products in the market. The product is always tender and juicy, and needs no added preservatives to stay fresh and safe. The retail consumer needs only to reheat the fully prepared item and serve. Advantages of Sous Vide: 
1) Fully cooked – just heat and serve
2) Perfectly seasoned or sauced
3) Easy to prepare
4) Done right, every time
5) Chef created, restaurant quality meal. The ultimate in gourmet convenience
",Sous Vide - Product can be seared and or grill marked before the Sous Vide cooking process.,{https://images.keychain.com/wlp/V7W1C8HDND/d7dded5c-ba23-4183-af81-7de3af27acc2.jpeg},,,,,,,,"{""Smoky Salt & Pepper"",""Creole Butter""}",,,"",,active,2025-03-25 05:21:59.873,2025-03-25 05:21:59.873
1359,BNVAQPEK9X,28419,CATEGORY,1975,"9ce9bf58-ae1b-4dea-bd36-abf0f3603d7e",,Sous Vide Chicken,"Sous vide is French for “under vacuum “ and refers to the Chef prepared method of cooking products in a vacuum sealed bag. Sous vide prepared products produce the highest quality, most consistent, most predictable, fully prepared products in the market. The product is always tender and juicy, and needs no added preservatives to stay fresh and safe. The retail consumer needs only to reheat the fully prepared item and serve. Advantages of Sous Vide: 
1) Fully cooked – just heat and serve
2) Perfectly seasoned or sauced
3) Easy to prepare
4) Done right, every time
5) Chef created, restaurant quality meal. The ultimate in gourmet convenience
",Sous Vide - Product can be seared and or grill marked before the Sous Vide cooking process.,{https://images.keychain.com/wlp/BNVAQPEK9X/17a8d5c2-7df9-46d8-bbc9-5db79b50d437.jpeg},,,,,,,,"{""Change to \""Flavors & Types of Cuts\"""",""Thai Chicken"",""Whole Seasoned & Grilled Chicken Breasts"",""Diced Chicken Breasts"",""Chicken Asada"",""Tikka Masala"",""Seasoned & Grilled Party Wings"",""Seasoned & Grilled Thighs""}",,,"",,active,2025-03-25 05:21:57.677,2025-03-25 05:21:57.677
1358,"07WWTZGSQM",28419,CATEGORY,1956,"38972748-3010-471a-8df0-248728c4d736",,Sous Vide Pork,"Sous vide is French for “under vacuum “ and refers to the Chef prepared method of cooking products in a vacuum sealed bag. Sous vide prepared products produce the highest quality, most consistent, most predictable, fully prepared products in the market. The product is always tender and juicy, and needs no added preservatives to stay fresh and safe. The retail consumer needs only to reheat the fully prepared item and serve. Advantages of Sous Vide: 
1) Fully cooked – just heat and serve
2) Perfectly seasoned or sauced
3) Easy to prepare
4) Done right, every time
5) Chef created, restaurant quality meal. The ultimate in gourmet convenience
",Sous Vide - Product can be seared and or grill marked before the Sous Vide cooking process.,{https://images.keychain.com/wlp/07WWTZGSQM/4772a8e3-7a67-4911-a6a8-ff195a2330c5.jpeg},,,,,,,,"{Carnitas,""Bone-In Pork Chop"",""Boneless Pork Chop"",""Baby Back Ribs""}",,,"",,active,2025-03-25 05:21:55.449,2025-03-25 05:21:55.449
1357,ONAXIUP6UH,28419,CATEGORY,1955,"0a1829cd-1449-427c-8b81-00bc1b80c655",,Sous Vide Beef,"Sous vide is French for “under vacuum “ and refers to the Chef prepared method of cooking products in a vacuum sealed bag. Sous vide prepared products produce the highest quality, most consistent, most predictable, fully prepared products in the market. The product is always tender and juicy, and needs no added preservatives to stay fresh and safe. The retail consumer needs only to reheat the fully prepared item and serve. Advantages of Sous Vide: 
1) Fully cooked – just heat and serve
2) Perfectly seasoned or sauced
3) Easy to prepare
4) Done right, every time
5) Chef created, restaurant quality meal. The ultimate in gourmet convenience
",Sous Vide - Product can be seared and or grill marked before the Sous Vide cooking process.,{https://images.keychain.com/wlp/ONAXIUP6UH/e619cc03-7e9f-4003-b12a-07f7184ecfb4.jpeg},,,,,,,,"{""Skirt Steak"",""Pot Roast in Demi Glace"",""Italian Sliced Beef"",""Sirloin Steak Soup"",""Tenderloin Steak Soup"",""Seasoned & Grilled Tenderloins"",""Medallions in Demi Glace"",""Seared Sliced Seasoned Tri-Tip"",""Seared Whole Seasoned Tri-Tip"",""Seared Seasoned Top Blade"",""Short Ribs in Demi Glace"",""Seared Seasoned Sliced Sirloin Coulotte"",""Prime Rib"",Tenderloin}",,,"",,active,2025-03-25 05:21:53.241,2025-03-25 05:21:53.241
1356,AIU9OCTLWN,28419,CATEGORY,1955,dae2d051-da61-4a2b-8ff0-300709b7e7f6,,Meal Kits With Premium Proteins,"Take your meal kits to the next level with premium proteins from Heartland Fresh. Choose from a wide variety of blast-frozen beef, pork or chicken. We offer our delicious chicken in your choice of ABF, Organic or Conventional. And all our proteins come as raw cuts or sous vide in consumer-friendly, multi-vac packaging so you can personalize your meal kits to fit your needs. Plus, talk to our team about our customizable private label or full label meal kit options. All our tasty protein items can be grilled and cooked, marinated and cooked or sauced and cooked for a variety of dishes and flavors.
","Raw Cuts
Sous Vide",{https://images.keychain.com/wlp/AIU9OCTLWN/29fc4334-d29c-4112-8ef6-dcb80296db4f.jpeg},,,,,,,,{Multiple},,,"",,active,2025-03-25 05:21:50.872,2025-03-25 05:21:50.872
1355,"8EWVI09AQN",28419,CATEGORY,1956,"5038fb39-a660-4aa9-9605-301a84edd59f",,"Breaded Pork Chop (raw, Ready To Cook)","Make family memories with these classic, flavorful meals. Our breaded pork chops are produced with premium pork in Original Southern or Italian breading flavors and come raw and ready to cook. Stock up for easy weeknight dinners! Available Boneless or Bone-in.","Raw, Ready to Cook",{https://images.keychain.com/wlp/8EWVI09AQN/8820b932-182f-4e1e-b2cb-3669ec9f7322.jpeg},,,,,,,,"{""Original Southern"",""Italian Breading""}",,,"",,active,2025-03-25 05:21:48.491,2025-03-25 05:21:48.491
1354,W3MBD9YSLB,28419,CATEGORY,1956,"0baf115d-871c-4607-a93a-197b6e8a1522",,Pork Roast (sous Vide),"Our premium pork roasts are fully cooked sous vide in Spiced Apple Cider or Garlic Dijon marinade. All are sure to fill your home with an incredible, comforting aroma and come individually vacuum sealed for ultimate freshness.",Sous Vide,{https://images.keychain.com/wlp/W3MBD9YSLB/40c7960e-e53f-40ab-9715-37cc87fc1f5e.jpeg},,,,,,,,"{""Garclic Dijon"",""Spiced Apple Cider""}",,,"",,active,2025-03-25 05:21:45.910,2025-03-25 05:21:45.910
1353,"42107LKWPS",28419,CATEGORY,1956,"1845944b-e4d7-4501-a199-f6279b1ea90d",,"Stuffed Pork (raw, Ready To Cook)","Enjoy a classic pork tenderloin — with a twist! Crafted with a variety of fillings, our stuffed pork tenderloins are packed full of deliciousness. Each individually vacuum sealed, they are raw and ready for your oven! Available using Conventional or ABF.","Raw, Ready to Cook",{https://images.keychain.com/wlp/42107LKWPS/78724410-9169-4b3f-8b96-e38ca90eada9.jpeg},,,,,,,,"{""Traditional Stuffed with Cranberries"",Caprese,""Pesto Mozzarella"",""Wild Rice and Portobello Mushroom""}",,,"",,active,2025-03-25 05:21:43.085,2025-03-25 05:21:43.085
1352,YA4IVACZKI,28419,CATEGORY,3918,dc5062e4-b76a-42a7-8748-8707d2e8f9d3,,"Breaded And Stuffed Chicken Breast (raw, Ready To Cook)","Our lightly breaded boneless white meat chicken breasts are handmade using real, high-quality ingredients like cheese & spices – nothing artificial. Available in Original Southern or Italian Breading. Simple to prepare and enjoy a fantastic gourmet meal!","Raw, Ready to Cook
Produced with Boneless Skinless Chicken Breasts
Stuffed with a Variety of Fillings
Individually Vacuumed Sealed
Available using Conventional or ABF",{https://images.keychain.com/wlp/YA4IVACZKI/8a3078a8-1f50-4818-9520-eb31604b1d02.jpeg},,,,,,,,"{""Chicken Cordon Bleu"",""Chicken Kiev"",""Chicken Melts"",""Chicken Spiedini"",""Chicken Florentine"",""Chicken Fried Chicken""}",,,"",,active,2025-03-25 05:21:40.610,2025-03-25 05:21:40.610
1351,YQXAWENI1J,28419,CATEGORY,3918,"759858c2-8ca1-4da9-aa8a-144a3d0c9e8a",,"Stuffed Chicken Breast (raw, Ready To Cook)","Just brimming with today’s favorite flavors and ready for your grocer’s case! Our boneless, skinless chicken breasts are stuffed with different gourmet choices and wrapped with bacon, then topped with tasty herbs. Perfect for family dinners!","Raw, Ready to Cook
Produced with Boneless Skinless Chicken Breasts
Stuffed with a Variety of Fillings
Individually Vacuumed Sealed
Available using Conventional or ABF",{https://images.keychain.com/wlp/YQXAWENI1J/29184277-96a8-471d-902f-a63e5676e1f9.jpeg},,,,,,,,"{""Three Cheese"",""Pepper Jack Asparagus"",""Wild Rice Portobello Mushroom"",""Ozark Ham & Cheese"",""Texan: Pepper Jack Cheese and Fire Roasted Green Chile"",""Jalapeno Cream Cheese"",""Spinach Florentine"",""Broccoli Cheddar & Rice"",""Traditional Stuffing""}",,,"",,active,2025-03-25 05:21:37.661,2025-03-25 05:21:37.661
1318,KNTXE26VOA,671,CATEGORY,1225,fa034d74-9bdb-45f4-8fe1-96ccf37a4b97,,Chickpea Chips,"A crunchy, tasty snack of wholesome chickpeas turned chips, loaded with the savory flavor of bold, classic hummus with a hint of garlic. We make it simple so that you – and your whole body – feel good.",,{https://images.keychain.com/wlp/KNTXE26VOA/495cb4a9-bf3e-4a7f-9c69-0deb7f065a21.png},,,,,,,,,,,"",,active,2025-03-16 06:07:24.399,2025-03-16 06:07:24.399
1317,"5WY0SLU9TQ",671,CATEGORY,1225,d01b2e0d-dc28-4f83-b3a6-4de5cb5bc8e5,,Lentil Chips,"A crunchy, tasty snack of wholesome lentils turned chips, loaded with the bold, sweet heat of jalapeno peppers. We make it simple so that you – and your whole body – feel good.",,{https://images.keychain.com/wlp/5WY0SLU9TQ/aadeb01a-aa39-4f7b-b762-ee5b300c2c1f.png},,,,,,,,,,,"",,active,2025-03-16 06:07:21.138,2025-03-16 06:07:21.138
1316,ZDM05V4HHQ,671,CATEGORY,1225,"55757f40-0e8c-4faa-8ac4-29358d011539",,Quinoa Chips,"A crunchy, tasty snack of wholesome quinoa turned chips, loaded with rich, bold cheddar cheese. We make it simple so that you – and your whole body – feel good.",,{https://images.keychain.com/wlp/ZDM05V4HHQ/160752dd-e979-4042-92de-b8aa3e48a876.png},,,,,,,,"{""Sea salt"",Cheddar,Barbeque,""Sour cream and onion""}",,,"",,active,2025-03-16 06:07:17.963,2025-03-16 06:07:17.963
1315,"2NB8TW3LX4",671,CATEGORY,3165,"22ffd269-f810-4135-974e-71fb0b22a831",,Bean Pops,"A crunchy, tasty snack of wholesome beans turned pops, topped with a pinch of sea salt. We make it simple so that you – and your whole body – feel good.",,{https://images.keychain.com/wlp/2NB8TW3LX4/e8259d73-380b-43ad-a6ea-be598f996eb8.png},,,,,,,,,,,"",,active,2025-03-16 06:07:14.818,2025-03-16 06:07:14.818
1314,EBW6F07LUW,671,CATEGORY,3165,"9e5e1a1b-9a28-48cf-94d4-737eb13ef9c9",,Potato 3d Pops,,,{https://images.keychain.com/wlp/EBW6F07LUW/6d632fda-8082-498f-b33c-77e2e777b2e8.png},,,,,,,,,,,"",,active,2025-03-16 06:07:11.626,2025-03-16 06:07:11.626
1313,"5BKIXEQD0M",671,CATEGORY,3165,d77f2ecb-1ed8-45b7-91cf-ff5db3576e3f,,Corn Bells,,,{https://images.keychain.com/wlp/5BKIXEQD0M/56c47a94-cb82-4d41-881a-d9029e05ee9e.png},,,,,,,,,,,"",,active,2025-03-16 06:07:08.460,2025-03-16 06:07:08.460
1312,YREGM07XHS,671,CATEGORY,3165,"50a9f430-5d0e-4f7c-810c-62439a73b717",,Potato Bats,,,{https://images.keychain.com/wlp/YREGM07XHS/03664a90-0699-4ab9-834f-8d42a27143da.png},,,,,,,,,,,"",,active,2025-03-16 06:07:05.303,2025-03-16 06:07:05.303
1311,UEF0ER7O02,671,CATEGORY,3165,d1740cfc-c5d4-43ba-994e-5bba51a0a559,,Soy Grills,,,{https://images.keychain.com/wlp/UEF0ER7O02/ca2f24a3-a359-4796-bb43-a8b539a249e2.png},,,,,,,,,,,"",,active,2025-03-16 06:07:02.082,2025-03-16 06:07:02.082
1310,BGB63RVK6M,671,CATEGORY,1255,baf74ddb-6c3d-4a34-ab06-0a9f7cdeb378,,Apple Straws,,,{https://images.keychain.com/wlp/BGB63RVK6M/ece7737a-ede6-4180-b02c-9054417e7e32.png},,,,,,,,,,,"",,active,2025-03-16 06:06:58.815,2025-03-16 06:06:58.815
1309,"11QFECPT43",671,CATEGORY,1235,"03748371-fb80-4d07-a084-c1c777cf8c6a",,Popcorn,,,{https://images.keychain.com/wlp/11QFECPT43/2764b494-28b9-4c74-8254-d9f1835c60b0.png},,,,,,,,"{Cheddar,Parmesan,BBQ,Jalapeno,""Sea Salt"",""Sour Cream & Onion"",""Creamy Dill"",Pizza,""Chili and Lime"",""Blazin Hot"",""Salt & Vinegar"",Ranch}",,,"",,active,2025-03-16 06:06:54.771,2025-03-16 06:06:54.771
1308,OHV50KBB3M,671,CATEGORY,1225,"592dded9-fb15-44ad-bd7d-0e4bd211a232",,Veggie Chips,,,{https://images.keychain.com/wlp/OHV50KBB3M/b94aabdf-94a9-4ed8-aa74-28128bda87e3.png},,,,,,,,"{Cheddar,Parmesan,BBQ,Jalapeno,""Sea Salt"",""Sour Cream & Onion"",""Creamy Dill"",Pizza,""Chili and Lime"",""Blazin Hot"",""Salt & Vinegar"",Ranch}",,,"",,active,2025-03-16 06:06:51.555,2025-03-16 06:06:51.555
1307,UA99HE3BCS,671,CATEGORY,3165,abd2bf2d-6263-4cb8-8532-e56341524dad,,Veggie Sticks,,,{https://images.keychain.com/wlp/UA99HE3BCS/af4e4af8-516b-43fb-84cc-4a1dcc6e1f97.png},,,,,,,,"{Cheddar,Parmesan,BBQ,Jalapeno,""Sea Salt"",""Sour Cream & Onion"",""Creamy Dill"",Pizza,""Chili and Lime"",""Blazin Hot"",""Salt & Vinegar"",Ranch}",,,"",,active,2025-03-16 06:06:48.244,2025-03-16 06:06:48.244
1306,BJAZGQ25ZR,671,CATEGORY,3165,"492a04c9-419c-44d5-b5bf-c793a2aed674",,Veggie Straws,,,{https://images.keychain.com/wlp/BJAZGQ25ZR/89db1227-50d5-4bca-a89f-b41bc9dbd1d0.png},,,,,,,,"{Cheddar,Parmesan,BBQ,Jalapeno,""Sea Salt"",""Sour Cream & Onion"",""Creamy Dill"",Pizza,""Chili and Lime"",""Blazin Hot"",""Salt & Vinegar"",Ranch}",,,"",,active,2025-03-16 06:06:43.466,2025-03-16 06:06:43.466
1305,M5MRBEBWJO,9234,CATEGORY,1260,AT0008,,Prebiotic Chips,"Snack smarter with our Prebiotic Chips—crafted with natural prebiotic fibers to nourish your gut and support digestion. Crispy, flavorful, and packed with wholesome ingredients, they’re the perfect balance of taste and nutrition",,{https://images.keychain.com/ai-spec/07624473-9162-495e-b1f5-7ee8f1161de8_base.png},,,,,,,,,"{Pouch,Carton,Bag,Box}",,"",{},active,2025-03-13 20:58:50.114,2025-03-13 20:58:50.114
1304,CFYIO7UVKH,9234,CATEGORY,1774,AT0007,,Prebiotic Cookie,Indulge in a sweet treat that does more than satisfy cravings. Our Prebiotic Cookies are crafted with natural prebiotic fibers to support gut health and digestion—without compromising on taste.,,{https://images.keychain.com/ai-spec/86a3bfb0-52dc-4b5d-8e58-c005beaa2bfe_base.png},,,,,,,,,"{Pouch,Carton,Bag,Box}",,"",{},active,2025-03-13 20:58:49.877,2025-03-13 20:58:49.877
1303,MAFKKE1ASK,9234,CATEGORY,1260,AT0006,,Fiber Chips,"Satisfy your cravings and support your digestive health with our delicious Fiber Chips. Packed with fiber and bold flavors, these crispy chips are the perfect guilt-free snack to keep you feeling full and energized throughout the day.",,{https://images.keychain.com/ai-spec/07624473-9162-495e-b1f5-7ee8f1161de8_base.png},,,,,,,,,"{Pouch,Carton,Bag,Box}",,"",{},active,2025-03-13 20:58:49.643,2025-03-13 20:58:49.643
